N,N_faces,n_states,Page_I3_minus,late_corr_Jtot_med,late_corr_Jrho_med,late_corr_Jtot_iqr_med,late_corr_Jrho_iqr_med,peak_Q_mean,t_peak_Q_mean,peak_Q_max,t_peak_Q_max
4,1,50,0.5275929679237171,0.5114709359195422,0.2411162796432179,0.24124425945707695,0.30535057483536143,0.15743753048932155,1.0,0.46865745432275235,1.0
5,4,50,0.5290759434957524,0.7083917922029528,0.5272645711771445,0.16916343801258055,0.2582419791960632,0.8162097018074181,0.6499999999999999,1.5634391776044465,0.6499999999999999
6,10,50,0.303528387151478,0.8200117262254925,0.7037722979078606,0.08908980092072821,0.12324002906614373,1.0776351417463885,0.6,1.7472502077212833,0.6499999999999999
7,20,50,0.15196126941247678,0.8617624162157571,0.7433724334904721,0.06380728724075485,0.1308497890746988,1.3169119164864134,0.6499999999999999,1.8649516826746964,1.0
8,35,50,0.07603009973564001,0.8464044031934992,0.7791674828274171,0.048748601547080106,0.07538544533182368,1.5291630704237076,0.6,2.1557136814291025,0.6499999999999999
9,56,50,0.03802742848795049,0.7870994501164376,0.7110531402583485,0.06282116813771049,0.09181878890215384,2.0973809858502364,0.6,2.767784945933657,0.5
