label,N,mean_I3,std_I3,median_I3,frac_I3_negative,mean_I3_minus,std_I3_minus,median_I3_minus,q05_I3_minus,q25_I3_minus,q75_I3_minus,q95_I3_minus,mean_S_ABC,mean_S_L,mean_P_pair,mean_N_pair_sum
haar3q_pure,2000,1.4782044822365754e-17,6.211062738457927e-16,1.2724257006055198e-17,0.463,2.3620014572876286e-16,3.702754347522866e-16,0.0,0.0,0.0,3.4579116439360216e-16,1.0726864664572934e-15,1.2173020714496637e-17,6.8833827526759705e-18,2.2090803052609282,0.462438371814541
product_haar4q_traceD,2000,2.8270238896166566e-17,9.196030961995774e-16,0.0,0.452,3.4661074771277417e-16,5.344325506139089e-16,0.0,0.0,0.0,6.406853007629835e-16,1.6017132519074593e-15,1.4415419267165964e-18,-1.509903313490213e-17,2.0261672636629127e-17,0.0
