,t,N,n_points,base_seed_requested,effective_base_seed,state_seed,family,family_min_jtot,health_check,corr_J_rho,corr_J_tot,corr_SL,corr_P_pair,corr_N_pair,corr_N_env,target_max,target_mean,J_tot_min_grid,J_tot_mean_grid,state_idx
0,0.05,4,144,1,1,1000,broad_xyz,22.359644512058757,False,0.4359960521914918,0.3779604355491787,0.9284561067585828,0.4681574537172982,0.4916817210033588,0.8696521685675629,0.000739039041423,0.0002502391239353,1.9855741241031457e-15,17.592496054248183,0
1,0.075,4,144,1,1,1000,broad_xyz,22.359644512058757,False,0.4318152051351364,0.3804621988495343,0.9364073990741468,0.4768198633926184,0.5156617378662881,0.8485934678094801,0.0017151237109878,0.0006004542291318,1.9855741241031457e-15,17.592496054248183,0
2,0.1,4,144,1,1,1000,broad_xyz,22.359644512058757,False,0.4173783683145347,0.3905696188373211,0.9473154266300874,0.4792568534307176,0.5391858901624235,0.8260829153856918,0.0031869977584116,0.0011687043869726,1.9855741241031457e-15,17.592496054248183,0
3,0.125,4,144,1,1,1000,broad_xyz,22.359644512058757,False,0.4009674219208053,0.3936267248482343,0.9586499988372296,0.483589582835925,0.5668871764772089,0.7984864192875515,0.0052596296447889,0.0020196194268696,1.9855741241031457e-15,17.592496054248183,0
4,0.15,4,144,1,1,1000,broad_xyz,22.359644512058757,False,0.3843136752492692,0.3880044090859674,0.9690888212685328,0.4918206157289673,0.5963040647542874,0.7653231707794662,0.0080598115033312,0.0032229764962506,1.9855741241031457e-15,17.592496054248183,0
5,0.1625,4,144,1,1,1000,broad_xyz,22.359644512058757,False,0.3750702053625616,0.3819096758169781,0.9737634385189023,0.4970582146859952,0.6095853756651891,0.7470964998621085,0.0098574438468879,0.003979788719982,1.9855741241031457e-15,17.592496054248183,0
6,0.175,4,144,1,1,1000,broad_xyz,22.359644512058757,False,0.3647127525242131,0.3740154018737923,0.9778266889903456,0.5031381114679201,0.6209529898920094,0.7276262380770768,0.0119386652618582,0.0048510582393086,1.9855741241031457e-15,17.592496054248183,0
7,0.1875,4,144,1,1,1000,broad_xyz,22.359644512058757,False,0.3524831051362548,0.3645277020550248,0.9812111488435826,0.509858435590017,0.6291285407708347,0.7070860756568395,0.0143197280596818,0.0058445272615823,1.9855741241031457e-15,17.592496054248183,0
8,0.2,4,144,1,1,1000,broad_xyz,22.359644512058757,False,0.3374692403555145,0.353685290200671,0.983866199531178,0.5169899473027452,0.6324298307099355,0.6856594226165182,0.0170251798465887,0.0069669832111848,1.9855741241031457e-15,17.592496054248183,0
9,0.2125,4,144,1,1,1000,broad_xyz,22.359644512058757,False,0.3186344831328201,0.3416932003272124,0.9857866717682324,0.5242063851802853,0.6284235164546484,0.6636153230185609,0.0200826127069491,0.0082242469322519,1.9855741241031457e-15,17.592496054248183,0
10,0.225,4,144,1,1,1000,broad_xyz,22.359644512058757,False,0.2950117005032161,0.3287235051208765,0.98699884571241,0.5311045380928296,0.6135720055741386,0.6412720944881253,0.0236026909974808,0.0096210092829675,1.9855741241031457e-15,17.592496054248183,0
11,0.2375,4,144,1,1,1000,broad_xyz,22.359644512058757,False,0.2663527742930847,0.3151733530436415,0.9874163086622753,0.5376172372029955,0.5834246956302304,0.6185712768468733,0.0275401068553496,0.0111588973084844,1.9855741241031457e-15,17.592496054248183,0
12,0.25,4,144,1,1,1000,broad_xyz,22.359644512058757,False,0.2329191866209879,0.3012806537753866,0.987052518261094,0.5434501776840233,0.5314660108715884,0.5957005481760106,0.0321038243684443,0.0128381224027247,1.9855741241031457e-15,17.592496054248183,0
13,0.27,4,144,1,1,1000,broad_xyz,22.359644512058757,False,0.172429732736265,0.2788743253314567,0.984919822352504,0.5506004929044604,0.384468152246404,0.5592604669569006,0.0407612038619455,0.015812648342042,1.9855741241031457e-15,17.592496054248183,0
14,0.29,4,144,1,1,1000,broad_xyz,22.359644512058757,False,0.1098861240526248,0.2569026761763149,0.9810434843056104,0.5539271581562129,0.1522341023231524,0.5238459949844976,0.0508087483325755,0.0191202260686193,1.9855741241031457e-15,17.592496054248183,0
15,0.31,4,144,1,1,1000,broad_xyz,22.359644512058757,False,0.0523569608214558,0.2359588155269923,0.9756742677862386,0.5521680028994584,-0.1096035388781294,0.4906161982047962,0.0622046930831032,0.0227199053072718,1.9855741241031457e-15,17.592496054248183,0
16,0.33,4,144,1,1,1000,broad_xyz,22.359644512058757,False,0.0038340403594965,0.2164693507695735,0.9691179803039148,0.5443040490369854,-0.3241254231601805,0.4609955407488151,0.0748248898354797,0.0265515966206158,1.9855741241031457e-15,17.592496054248183,0
17,0.35,4,144,1,1,1000,broad_xyz,22.359644512058757,False,-0.0345673285356703,0.1987127752422972,0.9617197075463308,0.5298984022506751,-0.4771375776491179,0.4366605477794507,0.088457706186604,0.0305370234085705,1.9855741241031457e-15,17.592496054248183,0
18,0.37,4,144,1,1,1000,broad_xyz,22.359644512058757,False,-0.0628618190533817,0.182855626771106,0.9538449599669636,0.5094680425104966,-0.5784920333555836,0.4194702256067187,0.1035015787101796,0.0345831461584748,1.9855741241031457e-15,17.592496054248183,0
19,0.39,4,144,1,1,1000,broad_xyz,22.359644512058757,False,-0.0808323078633389,0.1690067449617955,0.9458549712615144,0.4846734126479822,-0.640889872402776,0.4114884890441875,0.1188558791245092,0.0385887180000078,1.9855741241031457e-15,17.592496054248183,0
20,0.41,4,144,1,1,1000,broad_xyz,22.359644512058757,False,-0.0904831541501597,0.1572633096623211,0.938064547055386,0.4581217456951021,-0.6704692891188172,0.4156722201075924,0.1339834394420836,0.0424526358893805,1.9855741241031457e-15,17.592496054248183,0
21,0.43,4,144,1,1,1000,broad_xyz,22.359644512058757,False,-0.0939976931262475,0.1477906317203301,0.9307235921451904,0.4328545829146336,-0.671039034450293,0.4309988905701266,0.1483004524142238,0.046088298146416,1.9855741241031457e-15,17.592496054248183,0
22,0.45,4,144,1,1,1000,broad_xyz,22.359644512058757,False,-0.090811676754331,0.1409488828070121,0.9241000580129696,0.4117762400525097,-0.6519515658680325,0.4524745720687139,0.1612198013879369,0.0494482291802124,1.9855741241031457e-15,17.592496054248183,0
23,0.5,4,144,1,1,1000,broad_xyz,22.359644512058757,False,-0.065983991964014,0.1379550303892494,0.9101315392633028,0.3848609539867925,-0.5740876950982355,0.5175352027713458,0.1840639981745541,0.0563287625021111,1.9855741241031457e-15,17.592496054248183,0
24,0.55,4,144,1,1,1000,broad_xyz,22.359644512058757,False,-0.0230388091018565,0.1622431168058755,0.8965832772265783,0.3921714731638536,-0.4437819975676885,0.5860339785036842,0.1929185725787065,0.0613441279818722,1.9855741241031457e-15,17.592496054248183,0
25,0.6,4,144,1,1,1000,broad_xyz,22.359644512058757,False,0.0506428022551726,0.2266803524206214,0.8782580488154208,0.4252331938470869,-0.2082411755405838,0.6344456636933173,0.1892343992276492,0.065701442086098,1.9855741241031457e-15,17.592496054248183,0
26,0.6499999999999999,4,144,1,1,1000,broad_xyz,22.359644512058757,False,0.1516461026103243,0.332320938090082,0.840028714780657,0.487868671421521,0.0697601168243657,0.5282298300645294,0.1871988083824244,0.07046761281201,1.9855741241031457e-15,17.592496054248183,0
27,0.7,4,144,1,1,1000,broad_xyz,22.359644512058757,False,0.2085029291354848,0.4547296853200563,0.7719078780091833,0.5788086106752166,0.3823888433022065,0.2304970410327392,0.2001237293144183,0.0761547885798989,1.9855741241031457e-15,17.592496054248183,0
28,0.725,4,144,1,1,1000,broad_xyz,22.359644512058757,False,0.1842231810659775,0.5090102862216278,0.731421830297914,0.6283825330584389,0.4808317797323358,0.0886061989160521,0.2091180755097398,0.0792367303771981,1.9855741241031457e-15,17.592496054248183,0
29,0.75,4,144,1,1,1000,broad_xyz,22.359644512058757,False,0.1332561182703975,0.5533151007877852,0.6928460739498582,0.6761034229718715,0.5461001158607995,-0.0261199867418796,0.2179040838255274,0.0822892321794076,1.9855741241031457e-15,17.592496054248183,0
30,0.775,4,144,1,1,1000,broad_xyz,22.359644512058757,False,0.0847714968208979,0.5862848252889932,0.6604323299398103,0.7194143954300407,0.5875663703334599,-0.1121890742599428,0.2259611991794771,0.0851125510769757,1.9855741241031457e-15,17.592496054248183,0
31,0.8,4,144,1,1,1000,broad_xyz,22.359644512058757,False,0.0404452167286626,0.6077963422936244,0.6357749313015931,0.7563609176132049,0.6069620616166191,-0.1693729302600076,0.2327467605317226,0.0874805645593957,1.9855741241031457e-15,17.592496054248183,0
32,0.825,4,144,1,1,1000,broad_xyz,22.359644512058757,False,9.33830091039768e-05,0.6188811193267623,0.6173599504318856,0.7853724471863933,0.6090640219225706,-0.1983620592222363,0.237786717639355,0.0891988335818458,1.9855741241031457e-15,17.592496054248183,0
33,0.85,4,144,1,1,1000,broad_xyz,22.359644512058757,False,-0.0350296425251252,0.6233575307607485,0.6014594055547451,0.8054820864164446,0.5909226022469654,-0.2036011769397382,0.2407656692965135,0.0901720580455755,1.9855741241031457e-15,17.592496054248183,0
