t,N,n_points,base_seed_requested,effective_base_seed,state_seed,family,family_min_jtot,health_check,corr_J_rho,corr_J_tot,corr_SL,corr_P_pair,corr_N_pair,corr_N_env,target_max,target_mean,J_tot_min_grid,J_tot_mean_grid,state_idx
0.05,9,144,1,1,1021,broad_xyz,21.99112410904393,False,-0.10603419523695967,0.3821735266973031,-0.6174790681190756,-0.6276707753739474,-0.5367923663212275,-0.03168377198830995,0.0014809652497344461,0.0003976895217936322,2.146516379699357e-15,17.432896489599834,21
0.075,9,144,1,1,1021,broad_xyz,21.99112410904393,False,0.09139917904549973,0.4135453892728491,-0.6659470143935815,-0.6698408266836622,-0.547059852862769,0.04203535235610139,0.003049258888589969,0.0008715159711149782,2.146516379699357e-15,17.432896489599834,21
0.1,9,144,1,1,1021,broad_xyz,21.99112410904393,False,0.3336054712653428,0.4396272446980591,-0.6658842284835923,-0.6818953472343091,-0.5172563417258493,-0.02371355017183773,0.005792549416035711,0.0016589330434407515,2.146516379699357e-15,17.432896489599834,21
0.125,9,144,1,1,1021,broad_xyz,21.99112410904393,False,0.49644328267731086,0.5163160527103724,-0.6152282383966041,-0.687853431793593,-0.4612317182586002,-0.07084609712511203,0.009011629457187002,0.0029527211645251697,2.146516379699357e-15,17.432896489599834,21
0.15,9,144,1,1,1021,broad_xyz,21.99112410904393,False,0.5300149747478025,0.6917608665104215,-0.3843347021046062,-0.6632562657776372,-0.4945533494982142,0.12056118027473618,0.015239089030638031,0.005530188950676618,2.146516379699357e-15,17.432896489599834,21
0.1625,9,144,1,1,1021,broad_xyz,21.99112410904393,False,0.5070474938666444,0.7226673929140112,-0.20359183793175725,-0.6012565576418596,-0.5274980250000197,0.19673728008401678,0.02552841464651611,0.007629999831529603,2.146516379699357e-15,17.432896489599834,21
0.175,9,144,1,1,1021,broad_xyz,21.99112410904393,False,0.5029053418622351,0.7232938764169866,-0.07376285433213982,-0.5672675712720375,-0.5593031200101718,0.19374965260091911,0.03597579970314769,0.010195355410758195,2.146516379699357e-15,17.432896489599834,21
0.1875,9,144,1,1,1021,broad_xyz,21.99112410904393,False,0.5226532731018866,0.7247327290516141,-0.004312716090687303,-0.5763528345361115,-0.5656549135564981,0.1378314697148641,0.04547555245348374,0.013030371288906266,2.146516379699357e-15,17.432896489599834,21
0.2,9,144,1,1,1021,broad_xyz,21.99112410904393,False,0.551869985026828,0.7371565836461003,0.0381547842051226,-0.6054660661894022,-0.5564610245642932,0.04891884751994313,0.053534005649445375,0.01602811314359913,2.146516379699357e-15,17.432896489599834,21
0.2125,9,144,1,1,1021,broad_xyz,21.99112410904393,False,0.5816130628388201,0.7597678498004402,0.0696947580603899,-0.6384442222049592,-0.5316330751553487,-0.06004982720459365,0.059933154084106204,0.01907761424173056,2.146516379699357e-15,17.432896489599834,21
0.225,9,144,1,1,1021,broad_xyz,21.99112410904393,False,0.6076600194534447,0.7884301126217331,0.10745194039651373,-0.6594399383280026,-0.5002117821323856,-0.18540928149049854,0.06473211283761597,0.022181961720355595,2.146516379699357e-15,17.432896489599834,21
0.2375,9,144,1,1,1021,broad_xyz,21.99112410904393,False,0.6271965990665677,0.8154438346440119,0.15801481151683125,-0.6648719186093478,-0.4738895305976398,-0.3201708965310691,0.06799186184797654,0.025337647495412997,2.146516379699357e-15,17.432896489599834,21
0.25,9,144,1,1,1021,broad_xyz,21.99112410904393,False,0.6385872778437166,0.8349136400463134,0.2149934286449692,-0.662652487096174,-0.45307079684329543,-0.4289609835721727,0.07057485953103863,0.02858053560789744,2.146516379699357e-15,17.432896489599834,21
0.27,9,144,1,1,1021,broad_xyz,21.99112410904393,False,0.6410062113832568,0.847117327439452,0.3119605623953127,-0.6575787602351075,-0.4048585146415727,-0.4520087048129341,0.07348461855085421,0.03395072861116421,2.146516379699357e-15,17.432896489599834,21
0.29,9,144,1,1,1021,broad_xyz,21.99112410904393,False,0.624626607611608,0.8414412625452359,0.4056436661136047,-0.6659673386979742,-0.3447219463586127,-0.292111645687603,0.07686211264081486,0.039460564116777376,2.146516379699357e-15,17.432896489599834,21
0.31,9,144,1,1,1021,broad_xyz,21.99112410904393,False,0.5946486421231553,0.8235365774089964,0.4784376681165382,-0.6887536264133268,-0.3196854445012469,-0.08469336955219897,0.08381762800994452,0.04453519764301788,2.146516379699357e-15,17.432896489599834,21
0.33,9,144,1,1,1021,broad_xyz,21.99112410904393,False,0.5687065474251535,0.8051125137846826,0.5174257914325356,-0.7235970409233866,-0.3282169589623402,0.09692361972443177,0.08940147727787144,0.048560326951575666,2.146516379699357e-15,17.432896489599834,21
0.35,9,144,1,1,1021,broad_xyz,21.99112410904393,False,0.559248201876782,0.7977495050587655,0.5433666636667017,-0.7614041840577718,-0.367222785632157,0.21542927128209458,0.09302760858364219,0.05141406306794326,2.146516379699357e-15,17.432896489599834,21
0.37,9,144,1,1,1021,broad_xyz,21.99112410904393,False,0.5594736567936953,0.8001461405372245,0.5807132761802551,-0.7941961030101068,-0.4269644248096461,0.2698365842623854,0.09642471998936429,0.05346087958165719,2.146516379699357e-15,17.432896489599834,21
0.39,9,144,1,1,1021,broad_xyz,21.99112410904393,False,0.5624877113283692,0.8073013272467776,0.6296505469768309,-0.8180063335860873,-0.4892828689933692,0.26144428248369644,0.10085039565430995,0.055000440396164016,2.146516379699357e-15,17.432896489599834,21
0.41000000000000003,9,144,1,1,1021,broad_xyz,21.99112410904393,False,0.5692077683129072,0.8161048931268701,0.6779105819666384,-0.8292353439048445,-0.5408053981956649,0.20192378826657045,0.10245456427872343,0.0560368658889658,2.146516379699357e-15,17.432896489599834,21
