t,N,n_points,base_seed_requested,effective_base_seed,state_seed,family,family_min_jtot,health_check,corr_J_rho,corr_J_tot,corr_SL,corr_P_pair,corr_N_pair,corr_N_env,target_max,target_mean,J_tot_min_grid,J_tot_mean_grid,state_idx
0.05,5,144,1,1,1042,broad_xyz,22.359644512058754,False,0.3809086271721491,0.7715394160509804,0.4209600596236695,0.30463168838693144,0.7250382163673454,0.3460083178122377,0.017732707290720545,0.007558682449419756,1.6755229448455879e-15,17.62170968597708,42
0.075,5,144,1,1,1042,broad_xyz,22.359644512058754,False,0.4147246388491935,0.7781932117126605,0.41273441371987524,0.25210230323893595,0.7316992285172049,0.29301779062028555,0.04225684377969729,0.018427276589997335,1.6755229448455879e-15,17.62170968597708,42
0.1,5,144,1,1,1042,broad_xyz,22.359644512058754,False,0.47889945625191405,0.7828386516479602,0.41504466702543336,0.20059542090200688,0.7294472731128341,0.2419814645835064,0.07995668397256749,0.03578504204900169,1.6755229448455879e-15,17.62170968597708,42
0.125,5,144,1,1,1042,broad_xyz,22.359644512058754,False,0.5738673366126522,0.7855676569002941,0.429405684190835,0.15044019017877205,0.6977548821123163,0.1981118903593134,0.13245689942466377,0.060885900690831045,1.6755229448455879e-15,17.62170968597708,42
0.15,5,144,1,1,1042,broad_xyz,22.359644512058754,False,0.6892288819299481,0.7875737276870934,0.45969430114080206,0.10472097109311129,0.5763605784695077,0.16919503737650585,0.20031253204560961,0.09451061075152117,1.6755229448455879e-15,17.62170968597708,42
0.1625,5,144,1,1,1042,broad_xyz,22.359644512058754,False,0.7444605363235393,0.788712900063684,0.4808733925829265,0.08305914605764254,0.414909191683839,0.16129012998473355,0.2393787083460889,0.11457212874506428,1.6755229448455879e-15,17.62170968597708,42
0.175,5,144,1,1,1042,broad_xyz,22.359644512058754,False,0.7896556373906574,0.7898782866652347,0.5057370930077061,0.06134825729535654,0.11027854333052221,0.15878708024090676,0.2814332273546994,0.1367552375811677,1.6755229448455879e-15,17.62170968597708,42
0.1875,5,144,1,1,1042,broad_xyz,22.359644512058754,False,0.8202910835017784,0.7908745780206902,0.5346731842411067,0.03948280825850288,-0.28467806434645343,0.16204900995702085,0.32604270200695606,0.1610049029738964,1.6755229448455879e-15,17.62170968597708,42
0.2,5,144,1,1,1042,broad_xyz,22.359644512058754,False,0.8354299255977904,0.7922711026946405,0.5662312428815788,0.01504466477832598,-0.5696979986758304,0.1708907167406047,0.3727055515618031,0.18709703292255325,1.6755229448455879e-15,17.62170968597708,42
0.2125,5,144,1,1,1042,broad_xyz,22.359644512058754,False,0.8383235486386977,0.7943947765028332,0.6000734909426665,-0.013377015792973358,-0.7111711028243002,0.1855509716734819,0.42086721469166577,0.21480281801807294,1.6755229448455879e-15,17.62170968597708,42
0.225,5,144,1,1,1042,broad_xyz,22.359644512058754,False,0.832813716125685,0.7978314737491196,0.6352548424527581,-0.04833280132043602,-0.7767875678993714,0.2059783672377688,0.4707202240485837,0.2438163150125363,1.6755229448455879e-15,17.62170968597708,42
0.2375,5,144,1,1,1042,broad_xyz,22.359644512058754,False,0.8217765818139894,0.8028510419270076,0.670734594123469,-0.09305044818761261,-0.8093473459735947,0.2320184626638248,0.52340816006059,0.2737926877078574,1.6755229448455879e-15,17.62170968597708,42
0.25,5,144,1,1,1042,broad_xyz,22.359644512058754,False,0.8079787125770864,0.8094248425837689,0.7055525575005619,-0.151174415100022,-0.8256570416197959,0.2633913539648696,0.5762258504245609,0.304358173199696,1.6755229448455879e-15,17.62170968597708,42
0.27,5,144,1,1,1042,broad_xyz,22.359644512058754,False,0.7870100253224804,0.8227943074171292,0.7574341835091782,-0.2807231832852598,-0.8353178366609624,0.32332382685511973,0.6590301522714412,0.35344566620133083,1.6755229448455879e-15,17.62170968597708,42
0.29,5,144,1,1,1042,broad_xyz,22.359644512058754,False,0.7746138934099167,0.8387190141789032,0.8014594369307522,-0.4556704433611558,-0.8344178570325255,0.3922258800515363,0.7366911988230727,0.4011233398368178,1.6755229448455879e-15,17.62170968597708,42
0.31,5,144,1,1,1042,broad_xyz,22.359644512058754,False,0.7732371234314532,0.8558527170875684,0.8351566224263901,-0.6414928533082906,-0.8263661819094285,0.4654596234478436,0.8055357332599109,0.44542773203704134,1.6755229448455879e-15,17.62170968597708,42
0.33,5,144,1,1,1042,broad_xyz,22.359644512058754,False,0.7805745194975707,0.8729449393373899,0.8577931364825526,-0.7832182672934975,-0.8119369097627812,0.5374173467894129,0.8623376415509743,0.48443306633839317,1.6755229448455879e-15,17.62170968597708,42
0.35,5,144,1,1,1042,broad_xyz,22.359644512058754,False,0.7919453249347459,0.8891270849204991,0.8703136829192702,-0.8643134101660321,-0.7951935743993183,0.6020239469340274,0.9054997146149882,0.5164632642185129,1.6755229448455879e-15,17.62170968597708,42
0.37,5,144,1,1,1042,broad_xyz,22.359644512058754,False,0.801156063807235,0.9033335779445928,0.8754119571856473,-0.9036865641641874,-0.7802414812561366,0.6537390842396127,0.9292309565342116,0.5405276872466018,1.6755229448455879e-15,17.62170968597708,42
0.39,5,144,1,1,1042,broad_xyz,22.359644512058754,False,0.8031253605060759,0.9157295719262242,0.876104314890587,-0.9204560179998088,-0.7653306689312371,0.6871972509668335,0.9319897772924806,0.5563402606374228,1.6755229448455879e-15,17.62170968597708,42
0.41000000000000003,5,144,1,1,1042,broad_xyz,22.359644512058754,False,0.7943815805841874,0.9269012792823291,0.8728336490611215,-0.9260949281976677,-0.7469524314892628,0.6978661092820916,0.9183104562504093,0.5641984133291413,1.6755229448455879e-15,17.62170968597708,42
0.43,5,144,1,1,1042,broad_xyz,22.359644512058754,False,0.7737906918360786,0.9367669085931789,0.8668121606707863,-0.9244153338668457,-0.7257542413372926,0.6828384519024896,0.8952479296415239,0.5656603995018664,1.6755229448455879e-15,17.62170968597708,42
0.45,5,144,1,1,1042,broad_xyz,22.359644512058754,False,0.7436238343207358,0.9441822984137316,0.8583673136642748,-0.9152268928201118,-0.6998519039176643,0.6401916810942508,0.8797441543621088,0.5631935618696358,1.6755229448455879e-15,17.62170968597708,42
0.5,5,144,1,1,1042,broad_xyz,22.359644512058754,False,0.6556924589886637,0.9270002365563483,0.8211015062428082,-0.8253027592146336,-0.6207742114474608,0.35295504097828734,0.9022127410926672,0.558748352566131,1.6755229448455879e-15,17.62170968597708,42
0.55,5,144,1,1,1042,broad_xyz,22.359644512058754,False,0.6138748951222931,0.8684666194393665,0.7957378045673158,-0.6538567399570763,-0.6266369935353358,-0.23136933890183228,0.9136099028150877,0.5807656549011935,1.6755229448455879e-15,17.62170968597708,42
0.6,5,144,1,1,1042,broad_xyz,22.359644512058754,False,0.6220765702021339,0.8711987688346766,0.8368697641151397,-0.522904538849607,-0.7448028458711259,-0.5277953251625217,0.9176429949529894,0.617112906367292,1.6755229448455879e-15,17.62170968597708,42
0.6499999999999999,5,144,1,1,1042,broad_xyz,22.359644512058754,False,0.6234011787277155,0.9108173754056119,0.8814058338315245,-0.30262880365277006,-0.8176012224383038,-0.5794198679568051,0.896640774319793,0.6229523510612962,1.6755229448455879e-15,17.62170968597708,42
0.7,5,144,1,1,1042,broad_xyz,22.359644512058754,False,0.6143136771502722,0.9273161168952497,0.8866435791245934,0.04529287839038033,-0.8483605929739452,-0.6045027697300001,0.8876100901411226,0.5791078351129009,1.6755229448455879e-15,17.62170968597708,42
0.725,5,144,1,1,1042,broad_xyz,22.359644512058754,False,0.6099469454119956,0.9204342822497332,0.8757794611182761,0.17030273233170903,-0.8590269278239628,-0.6063686053640553,0.8666795634029576,0.5436478899958086,1.6755229448455879e-15,17.62170968597708,42
0.75,5,144,1,1,1042,broad_xyz,22.359644512058754,False,0.6110750791627353,0.90542819054016,0.8602319953007733,0.23987683238203905,-0.8640268177249958,-0.5987973918555554,0.8427839750155497,0.504839364381652,1.6755229448455879e-15,17.62170968597708,42
0.775,5,144,1,1,1042,broad_xyz,22.359644512058754,False,0.6218725402812534,0.8862506101761062,0.8450780709896893,0.27382080695086,-0.8627157973589921,-0.583368407329299,0.8219953636148805,0.46684739006222364,1.6755229448455879e-15,17.62170968597708,42
0.8,5,144,1,1,1042,broad_xyz,22.359644512058754,False,0.6412057110173869,0.8668766857485639,0.8343557214403098,0.29121891493307733,-0.8550562538496662,-0.5649814593097324,0.7940092788630908,0.43260825635345235,1.6755229448455879e-15,17.62170968597708,42
0.825,5,144,1,1,1042,broad_xyz,22.359644512058754,False,0.6607244933300668,0.8501099417454098,0.829492252825078,0.3033311112751615,-0.8409104888566067,-0.5469164589330098,0.7929425661090066,0.40348675231098213,1.6755229448455879e-15,17.62170968597708,42
0.85,5,144,1,1,1042,broad_xyz,22.359644512058754,False,0.670406126420365,0.8365803671373909,0.8295850741613229,0.3152810977014667,-0.8181752180948471,-0.5308512705694137,0.8070790694419732,0.3798777054643783,1.6755229448455879e-15,17.62170968597708,42
0.875,5,144,1,1,1042,broad_xyz,22.359644512058754,False,0.6600195248210247,0.8233020246571819,0.8311373228292389,0.3251736431551701,-0.7863689417019178,-0.5158992575801147,0.8102921343461702,0.36199980732214043,1.6755229448455879e-15,17.62170968597708,42
0.9,5,144,1,1,1042,broad_xyz,22.359644512058754,False,0.6249024148647743,0.8031645294705527,0.8274626898204986,0.32340156445548085,-0.7571398142177959,-0.5017561619339083,0.7948884956722105,0.35038585418560686,1.6755229448455879e-15,17.62170968597708,42
0.95,5,144,1,1,1042,broad_xyz,22.359644512058754,False,0.4823933559670309,0.7101697820173375,0.7807867023044631,0.2531623688188422,-0.7757588933052519,-0.48034392995276287,0.7964372995201214,0.348579920809862,1.6755229448455879e-15,17.62170968597708,42
1.0,5,144,1,1,1042,broad_xyz,22.359644512058754,False,0.28718631294521096,0.5375024943072287,0.6927217923971046,0.10620660720349688,-0.7342903540215567,-0.4748429125221046,0.8153016090658795,0.3740803924563955,1.6755229448455879e-15,17.62170968597708,42
