t,N,n_points,base_seed_requested,effective_base_seed,state_seed,family,family_min_jtot,health_check,corr_J_rho,corr_J_tot,corr_SL,corr_P_pair,corr_N_pair,corr_N_env,target_max,target_mean,J_tot_min_grid,J_tot_mean_grid,state_idx
0.05,6,144,1,1,1005,broad_xyz,22.359644512058757,False,0.06365116699625346,0.344409639365427,-0.3604521072995661,-0.5612069665858985,-0.38926454407170635,0.18597283994383854,0.005533996135778792,0.0009539749940065337,2.3933636546129825e-15,17.618006918589536,5
0.075,6,144,1,1,1005,broad_xyz,22.359644512058757,False,0.13398905801761934,0.35789923294430886,-0.3318920984103897,-0.592920053286833,-0.4459087924762232,0.21363831708871425,0.01441245308463517,0.002680135208611054,2.3933636546129825e-15,17.618006918589536,5
0.1,6,144,1,1,1005,broad_xyz,22.359644512058757,False,0.23071135052171438,0.38843776483334175,-0.2759633414800728,-0.6171916757420254,-0.5328238827327103,0.23693113396997412,0.029337203311413713,0.006183663930136338,2.3933636546129825e-15,17.618006918589536,5
0.125,6,144,1,1,1005,broad_xyz,22.359644512058757,False,0.3469446357868247,0.43976476388957536,-0.18361613253727774,-0.6284243700128659,-0.6456526090426646,0.2608572057873497,0.05134282744217413,0.012876052625557709,2.3933636546129825e-15,17.618006918589536,5
0.15,6,144,1,1,1005,broad_xyz,22.359644512058757,False,0.5063762555432038,0.5584331613188798,-0.020455959053787644,-0.6046180891196427,-0.7380492735065749,0.27661587484388245,0.080852739826917,0.026248789236768866,2.3933636546129825e-15,17.618006918589536,5
0.1625,6,144,1,1,1005,broad_xyz,22.359644512058757,False,0.6064432704625173,0.6516187998181087,0.10024710743433325,-0.5646081219616315,-0.7666786939090634,0.2815342112289028,0.09839577055059817,0.0372466191916272,2.3933636546129825e-15,17.618006918589536,5
0.175,6,144,1,1,1005,broad_xyz,22.359644512058757,False,0.6988344347414259,0.7398255728560215,0.22473092237612166,-0.513927888506944,-0.7839141118541388,0.28520370387020905,0.11772892643178859,0.05156229002554194,2.3933636546129825e-15,17.618006918589536,5
0.1875,6,144,1,1,1005,broad_xyz,22.359644512058757,False,0.7751560458503974,0.8116750462834371,0.34025860470552727,-0.46134405181644933,-0.7937383950518674,0.2859236102468361,0.13877293242007072,0.06901703423320811,2.3933636546129825e-15,17.618006918589536,5
0.2,6,144,1,1,1005,broad_xyz,22.359644512058757,False,0.8322998203290414,0.8633063403823087,0.43965639222796976,-0.41580875788812405,-0.8058733710436219,0.27962184554471975,0.16142316931889927,0.0892969255791271,2.3933636546129825e-15,17.618006918589536,5
0.2125,6,144,1,1,1005,broad_xyz,22.359644512058757,False,0.8732259932310953,0.8952764011262627,0.5226996430783498,-0.3826554553752554,-0.8131318859379261,0.26650919027058156,0.18553980028658074,0.11200988772275362,2.3933636546129825e-15,17.618006918589536,5
0.225,6,144,1,1,1005,broad_xyz,22.359644512058757,False,0.9032369365411217,0.9140411938760896,0.5927589964210234,-0.3641762237065404,-0.8011617023532649,0.2530273601197393,0.21301267772666094,0.1360468109500474,2.3933636546129825e-15,17.618006918589536,5
0.2375,6,144,1,1,1005,broad_xyz,22.359644512058757,False,0.9239571448102768,0.9241872072615134,0.6517278342286037,-0.3630477084209969,-0.7674783196405542,0.24585894417505783,0.2417142897627876,0.1603477631276604,2.3933636546129825e-15,17.618006918589536,5
0.25,6,144,1,1,1005,broad_xyz,22.359644512058757,False,0.936457430842662,0.9286136391357472,0.6998421451114223,-0.3830807395919844,-0.7227278881842275,0.24542117129566723,0.27098569731728306,0.1840819525548663,2.3933636546129825e-15,17.618006918589536,5
0.27,6,144,1,1,1005,broad_xyz,22.359644512058757,False,0.9424225726026104,0.9291756455736009,0.7573984985252482,-0.4594005278429306,-0.6317827470249991,0.25701723466088794,0.31867935517992974,0.21913473022795504,2.3933636546129825e-15,17.618006918589536,5
0.29,6,144,1,1,1005,broad_xyz,22.359644512058757,False,0.9365469525605684,0.9277697299079184,0.7959432878990392,-0.5757543852950794,-0.563558804504007,0.2805492229856659,0.3637552147921417,0.24843353195112344,2.3933636546129825e-15,17.618006918589536,5
0.31,6,144,1,1,1005,broad_xyz,22.359644512058757,False,0.9243152812884845,0.9289806114324781,0.8210191235105346,-0.6997504014308368,-0.5269798581722412,0.31347121188364463,0.4022158113440691,0.2699586192358175,2.3933636546129825e-15,17.618006918589536,5
