t,N,n_points,base_seed_requested,effective_base_seed,state_seed,family,family_min_jtot,health_check,corr_J_rho,corr_J_tot,corr_SL,corr_P_pair,corr_N_pair,corr_N_env,target_max,target_mean,J_tot_min_grid,J_tot_mean_grid,state_idx
0.05,6,144,1,1,1041,broad_xyz,22.359644512058757,False,-0.21598091422935042,0.12225501976065781,-0.40491193806200443,-0.47425309724609277,-0.38295880344930594,-0.19537463615311107,0.002809866702734315,0.00040633375067080626,2.3933636546129825e-15,17.618006918589536,41
0.075,6,144,1,1,1041,broad_xyz,22.359644512058757,False,-0.2564315361940544,0.12488856840210147,-0.46887916075895164,-0.5325176196981283,-0.46782400379834216,-0.2242799941809996,0.006011836018862626,0.0008944086757331281,2.3933636546129825e-15,17.618006918589536,41
0.1,6,144,1,1,1041,broad_xyz,22.359644512058757,False,-0.2842182124337032,0.17079960827893936,-0.547187195802769,-0.6051187829310712,-0.5745226106406193,-0.2811795154443759,0.010471087154698711,0.0017520585799813454,2.3933636546129825e-15,17.618006918589536,41
0.125,6,144,1,1,1041,broad_xyz,22.359644512058757,False,-0.2167097333487079,0.302127584817115,-0.5685686346494752,-0.6420271340740696,-0.6073209292749902,-0.36443874876148025,0.016296530585007192,0.0038589865984656312,2.3933636546129825e-15,17.618006918589536,41
0.15,6,144,1,1,1041,broad_xyz,22.359644512058757,False,-0.021183153061935855,0.4355354456859476,-0.4525796873848518,-0.5796227983526745,-0.4967235728287149,-0.41969932308082764,0.038753463155577275,0.009657287024889305,2.3933636546129825e-15,17.618006918589536,41
0.1625,6,144,1,1,1041,broad_xyz,22.359644512058757,False,0.0812547162808569,0.48633782769783174,-0.3694995311868466,-0.5367504930630793,-0.4278059061088022,-0.43920685921285507,0.054686046683548595,0.014917811164593932,2.3933636546129825e-15,17.618006918589536,41
0.175,6,144,1,1,1041,broad_xyz,22.359644512058757,False,0.16311373074515495,0.5285292200912997,-0.28406420745606015,-0.495085113597902,-0.36632611669286813,-0.44854148649974673,0.0724749180267671,0.022201544367130246,2.3933636546129825e-15,17.618006918589536,41
0.1875,6,144,1,1,1041,broad_xyz,22.359644512058757,False,0.22439520166397758,0.5631134256890991,-0.1984614880328177,-0.4545215872003058,-0.32038105978567677,-0.44298443870919074,0.09438083773681585,0.031685149318365885,2.3933636546129825e-15,17.618006918589536,41
0.2,6,144,1,1,1041,broad_xyz,22.359644512058757,False,0.27263413600458003,0.5934618695028954,-0.10943676088340197,-0.4113813531391074,-0.286129725809352,-0.4222910428831457,0.11796457002030518,0.04362580356087975,2.3933636546129825e-15,17.618006918589536,41
0.2125,6,144,1,1,1041,broad_xyz,22.359644512058757,False,0.3188502651902116,0.627090919788542,-0.01378490331036549,-0.3620295198537005,-0.2740710641472991,-0.38007109367536623,0.1426132822975709,0.05801735495116183,2.3933636546129825e-15,17.618006918589536,41
0.225,6,144,1,1,1041,broad_xyz,22.359644512058757,False,0.3608091528038274,0.6594392312702623,0.08118265230448327,-0.3133825693119356,-0.28320494296742627,-0.3151673961129669,0.16786680892374412,0.0745251483049365,2.3933636546129825e-15,17.618006918589536,41
0.2375,6,144,1,1,1041,broad_xyz,22.359644512058757,False,0.4065359857803691,0.6913073331670098,0.17899505357710768,-0.26251364858865744,-0.31300341300204304,-0.21808240478001217,0.19465836281769724,0.09325771406971715,2.3933636546129825e-15,17.618006918589536,41
0.25,6,144,1,1,1041,broad_xyz,22.359644512058757,False,0.4564267894933817,0.7212844912977616,0.2746624169010463,-0.21500544610892278,-0.36427665099809137,-0.08041854774716146,0.22419790788320784,0.113458585712013,2.3933636546129825e-15,17.618006918589536,41
0.27,6,144,1,1,1041,broad_xyz,22.359644512058757,False,0.5481989614495569,0.769406743119366,0.40768997524920153,-0.1667625078568271,-0.44971165200531865,0.18208051741946754,0.27091398267236955,0.1467371918624103,2.3933636546129825e-15,17.618006918589536,41
0.29,6,144,1,1,1041,broad_xyz,22.359644512058757,False,0.639476943948776,0.8118113816489047,0.5062220638936558,-0.1739591465237532,-0.5034038888351281,0.4043106548550843,0.3196559048247884,0.17841964405614436,2.3933636546129825e-15,17.618006918589536,41
0.31,6,144,1,1,1041,broad_xyz,22.359644512058757,False,0.7116579026588792,0.8439191222978397,0.5687752518457496,-0.2509926049053997,-0.5158182777282324,0.5007258689400372,0.3665441564738431,0.2057790833153107,2.3933636546129825e-15,17.618006918589536,41
0.33,6,144,1,1,1041,broad_xyz,22.359644512058757,False,0.7543677258682688,0.8656537405808468,0.6027791932767916,-0.3869847890416837,-0.48739961708573665,0.5053880948321189,0.4104265503255113,0.22687151110461723,2.3933636546129825e-15,17.618006918589536,41
0.35,6,144,1,1,1041,broad_xyz,22.359644512058757,False,0.7630788065187911,0.8745422833797146,0.6212957799246672,-0.5373633095147634,-0.43955789894095754,0.47873265803584897,0.4476504864197782,0.24082752097213744,2.3933636546129825e-15,17.618006918589536,41
0.37,6,144,1,1,1041,broad_xyz,22.359644512058757,False,0.7421169662299676,0.8680737101323742,0.6429354163528701,-0.6460894077359896,-0.41120051549663866,0.44979067927975214,0.4764340334563147,0.2487998708606967,2.3933636546129825e-15,17.618006918589536,41
0.39,6,144,1,1,1041,broad_xyz,22.359644512058757,False,0.7005845002608629,0.8544454163617952,0.6684317357829499,-0.7043996668638667,-0.4082469049381803,0.4218379567667618,0.4952413523139191,0.25212444565243025,2.3933636546129825e-15,17.618006918589536,41
0.41000000000000003,6,144,1,1,1041,broad_xyz,22.359644512058757,False,0.6448856954053727,0.8392016951601299,0.6916744023418563,-0.7294142193692016,-0.42268944430724037,0.39568070827269863,0.5034558488610983,0.2523447275124625,2.3933636546129825e-15,17.618006918589536,41
0.43,6,144,1,1,1041,broad_xyz,22.359644512058757,False,0.581138368311078,0.8253931697407465,0.7050099408284615,-0.738288504933208,-0.4378386249158157,0.36161362343025927,0.5019337867468978,0.2504141733732744,2.3933636546129825e-15,17.618006918589536,41
0.45,6,144,1,1,1041,broad_xyz,22.359644512058757,False,0.5185893284121941,0.8146472339230156,0.7065611383136474,-0.741597957858882,-0.43292207303455915,0.3154509751618603,0.4931426264250587,0.24799879957919746,2.3933636546129825e-15,17.618006918589536,41
0.5,6,144,1,1,1041,broad_xyz,22.359644512058757,False,0.41753854449770267,0.7977080931336608,0.6636858020517928,-0.7389314852279855,-0.2965691553929425,0.18081801063762915,0.49895458677196325,0.2519269978479424,2.3933636546129825e-15,17.618006918589536,41
0.55,6,144,1,1,1041,broad_xyz,22.359644512058757,False,0.4324667785202145,0.8014709807125009,0.6579848114331177,-0.6191838693586074,-0.34455873949971866,0.026475509838593304,0.5280070368548613,0.28433882148362216,2.3933636546129825e-15,17.618006918589536,41
0.6,6,144,1,1,1041,broad_xyz,22.359644512058757,False,0.5408356315337569,0.8221983005868778,0.731081806883137,-0.4522782273346967,-0.5793147110178458,-0.20648517953937134,0.5296524491910766,0.31641070742753996,2.3933636546129825e-15,17.618006918589536,41
0.6499999999999999,6,144,1,1,1041,broad_xyz,22.359644512058757,False,0.6576375821324252,0.8478655781689709,0.7545298150963762,-0.4808230412996442,-0.7420098602041793,-0.4257586227737936,0.532198394968901,0.3170101691663319,2.3933636546129825e-15,17.618006918589536,41
0.7,6,144,1,1,1041,broad_xyz,22.359644512058757,False,0.6915596100275617,0.8434354296911106,0.7826461101727502,-0.5077449697719323,-0.8262912652797141,-0.5191192030869741,0.5105100869556406,0.2954506625141018,2.3933636546129825e-15,17.618006918589536,41
0.725,6,144,1,1,1041,broad_xyz,22.359644512058757,False,0.7024909929170655,0.8382150004098545,0.8104690650292538,-0.47461876203791026,-0.8546094913796112,-0.5290704107744039,0.49568572209503114,0.28309780412261504,2.3933636546129825e-15,17.618006918589536,41
0.75,6,144,1,1,1041,broad_xyz,22.359644512058757,False,0.721543812479234,0.8373066189603672,0.842448218518619,-0.39642740129156717,-0.8785296003064321,-0.5295771951713558,0.49075760443476407,0.27218050785110615,2.3933636546129825e-15,17.618006918589536,41
0.775,6,144,1,1,1041,broad_xyz,22.359644512058757,False,0.7440143749218858,0.8423622714469315,0.8734671538365869,-0.25773472332624714,-0.8969413918951281,-0.5262265099551463,0.4825316687496981,0.2632705224803212,2.3933636546129825e-15,17.618006918589536,41
0.8,6,144,1,1,1041,broad_xyz,22.359644512058757,False,0.7636676316741341,0.8517839074664654,0.8983305975447876,-0.06952372299510758,-0.9101478494128398,-0.5212434277088098,0.4697784693741428,0.25593284527135496,2.3933636546129825e-15,17.618006918589536,41
0.825,6,144,1,1,1041,broad_xyz,22.359644512058757,False,0.7783280502978316,0.860009904523055,0.9114950729023129,0.0965217156180811,-0.9115930325795929,-0.5189336220728208,0.4608012671449397,0.24918154699706502,2.3933636546129825e-15,17.618006918589536,41
0.85,6,144,1,1,1041,broad_xyz,22.359644512058757,False,0.7864844168803228,0.8624311646051195,0.9133202896264803,0.19077272485000996,-0.8958890473542916,-0.5217867817489037,0.46867603104984623,0.2422257113099098,2.3933636546129825e-15,17.618006918589536,41
0.875,6,144,1,1,1041,broad_xyz,22.359644512058757,False,0.7810558457801577,0.8544815887834658,0.9074719239235561,0.2247706060929303,-0.8589897472808112,-0.5294261559544671,0.47239862580460545,0.2353075746811049,2.3933636546129825e-15,17.618006918589536,41
0.9,6,144,1,1,1041,broad_xyz,22.359644512058757,False,0.7536763391799097,0.8348451291633204,0.8978176498177598,0.21689685777873535,-0.8177890011309902,-0.5330273285926231,0.47305062086904676,0.23002085666370753,2.3933636546129825e-15,17.618006918589536,41
0.95,6,144,1,1,1041,broad_xyz,22.359644512058757,False,0.655299103690788,0.7746855595270902,0.8763480366670856,0.08645936352303984,-0.8715142238720099,-0.5198179469147116,0.4724399005801369,0.2299758557563077,2.3933636546129825e-15,17.618006918589536,41
1.0,6,144,1,1,1041,broad_xyz,22.359644512058757,False,0.5833653350627764,0.7172856438688894,0.866015160198659,-0.1809122276187956,-0.9104132330463492,-0.5310324540676603,0.47243382825380564,0.23841806008595723,2.3933636546129825e-15,17.618006918589536,41
