lambda_h_over_Jbar,h,Jbar_RMS,R_internal_norm,J_CD,J_tot_analytic,include_D_transverse,N_records,A_I3_frustrated,A_I3_non_frustrated,A_Delta_I3,Delta_A_I3_direct,max_Delta_I3_mean,min_Delta_I3_mean,t_at_max_Delta_I3_mean,t_at_min_Delta_I3_mean,mean_frac_geometry_frustrated_gt_non
0.75,0.75,1.0,1.7320508075688772,0.2,0.9742785792574934,True,9408,0.06532737418401471,0.07779252767646719,-0.012465153492452464,-0.012465153492452474,-1.3450070591727507e-07,-0.017349159431709883,0.1,1.3,0.16326530612244897
1.0,1.0,1.0,1.7320508075688772,0.2,1.7320508075688772,True,9408,0.06414657961615183,0.0751114364256415,-0.010964856809489661,-0.010964856809489665,0.007736505745550419,-0.018467865471974442,2.0,1.3,0.17857142857142858
1.25,1.25,1.0,1.7320508075688772,0.2,2.7063293868263707,True,9408,0.06004432471787101,0.06949538592515009,-0.009451061207279083,-0.00945106120727908,0.0003863129783252873,-0.010166528484317084,2.0,1.3,0.1292517006802721
1.5,1.5,1.0,1.7320508075688772,0.2,3.8971143170299736,True,9408,0.046816466419343644,0.0606034104321792,-0.013786944012835547,-0.013786944012835554,-9.381764972049311e-07,-0.024943547136580414,0.1,2.0,0.08928571428571429
