t,N,n_points,base_seed_requested,effective_base_seed,state_seed,family,family_min_jtot,health_check,corr_J_rho,corr_J_tot,corr_SL,corr_P_pair,corr_N_pair,corr_N_env,target_max,target_mean,J_tot_min_grid,J_tot_mean_grid,state_idx
0.05,4,144,1,1,1020,broad_xyz,22.359644512058754,False,-0.43909298108577327,-0.04939408432395017,0.3145910583689355,0.15423892973229764,0.23071894388154038,0.443199339397775,0.00036310200184520294,4.481084664272206e-05,1.9855741241031457e-15,17.592496054248183,20
0.075,4,144,1,1,1020,broad_xyz,22.359644512058754,False,-0.4433885315699491,-0.07487824185819687,0.33940155685568457,0.22911562210407968,0.31183437695259314,0.47421873642020707,0.000803487375508961,0.00010605232397151562,1.9855741241031457e-15,17.592496054248183,20
0.1,4,144,1,1,1020,broad_xyz,22.359644512058754,False,-0.45166633216581376,-0.10918920667395972,0.3703613854674558,0.31521035622307875,0.39271353969904826,0.48228773335041863,0.0016294133165983792,0.00020403753739310157,1.9855741241031457e-15,17.592496054248183,20
0.125,4,144,1,1,1020,broad_xyz,22.359644512058754,False,-0.46402647638340444,-0.14940413837216537,0.4115890220610006,0.41286709740269273,0.46919574814992054,0.47191898365798907,0.0030094854651248754,0.0003537995170491096,1.9855741241031457e-15,17.592496054248183,20
0.15,4,144,1,1,1020,broad_xyz,22.359644512058754,False,-0.4780851601801632,-0.1867515370017703,0.45112496387229545,0.5003324510622212,0.5211953755035764,0.4449979962937824,0.005172658966998599,0.0005783564533203897,1.9855741241031457e-15,17.592496054248183,20
0.1625,4,144,1,1,1020,broad_xyz,22.359644512058754,False,-0.4852897203975785,-0.20515591030667799,0.4707799859145937,0.5378071933178061,0.5365271314497128,0.4278978823036551,0.006638050216737884,0.0007271588916446334,1.9855741241031457e-15,17.592496054248183,20
0.175,4,144,1,1,1020,broad_xyz,22.359644512058754,False,-0.4891359496176214,-0.22331936954752404,0.49016682953858526,0.5705260279580395,0.5448045571554572,0.4076958660132227,0.008412812775601679,0.0009036162712798041,1.9855741241031457e-15,17.592496054248183,20
0.1875,4,144,1,1,1020,broad_xyz,22.359644512058754,False,-0.4864303842833545,-0.23815763415339752,0.5082810037514921,0.597587678139226,0.5455299925455773,0.38514902814945573,0.010539279898694541,0.0011141761101148093,1.9855741241031457e-15,17.592496054248183,20
0.2,4,144,1,1,1020,broad_xyz,22.359644512058754,False,-0.47749546092830425,-0.24976658527708326,0.5277198418414595,0.6211472312992432,0.5409629784956722,0.36398082707914714,0.013060427038470303,0.0013690437821838857,1.9855741241031457e-15,17.592496054248183,20
0.2125,4,144,1,1,1020,broad_xyz,22.359644512058754,False,-0.46455138298831766,-0.2603725532066408,0.5495145147781427,0.6434948003799452,0.5326778730455799,0.3415870626002638,0.016018692281586505,0.001671816304146377,1.9855741241031457e-15,17.592496054248183,20
0.225,4,144,1,1,1020,broad_xyz,22.359644512058754,False,-0.4488937677937805,-0.2693823700577206,0.568673716355742,0.6602856195966692,0.5178700288540634,0.31508363255554683,0.019454583983895664,0.002020219213331973,1.9855741241031457e-15,17.592496054248183,20
0.2375,4,144,1,1,1020,broad_xyz,22.359644512058754,False,-0.44273075438729526,-0.2758476731672105,0.5879382558736704,0.6740825785399492,0.49924719692569797,0.2887518252758923,0.023405081727255472,0.002425864140661019,1.9855741241031457e-15,17.592496054248183,20
0.25,4,144,1,1,1020,broad_xyz,22.359644512058754,False,-0.4444106616517135,-0.2813961750342877,0.6044361016161373,0.6833707389588589,0.4752275291313787,0.25960714166386256,0.027901848669972015,0.0028862257545625002,1.9855741241031457e-15,17.592496054248183,20
0.27,4,144,1,1,1020,broad_xyz,22.359644512058754,False,-0.4485137834523994,-0.2837154164835006,0.6299579357143062,0.6906276588962101,0.427053048163009,0.22189554869382225,0.036290405751682256,0.0037774392183877884,1.9855741241031457e-15,17.592496054248183,20
0.29,4,144,1,1,1020,broad_xyz,22.359644512058754,False,-0.44718877508179183,-0.2802358646396125,0.6544783576171092,0.6916474382084719,0.3683297741625781,0.19411958554793496,0.046183878180770174,0.004885327932326162,1.9855741241031457e-15,17.592496054248183,20
0.31,4,144,1,1,1020,broad_xyz,22.359644512058754,False,-0.43749155659986544,-0.271793613515518,0.681449195264256,0.6920414059306216,0.3038638233934076,0.17984240514877226,0.05754697460262473,0.006244024074282567,1.9855741241031457e-15,17.592496054248183,20
0.33,4,144,1,1,1020,broad_xyz,22.359644512058754,False,-0.4196177275876991,-0.2613302858152544,0.7068179372310881,0.6918363904026473,0.23438548669536172,0.1725465199540333,0.0702430630387526,0.007860425465908179,1.9855741241031457e-15,17.592496054248183,20
0.35,4,144,1,1,1020,broad_xyz,22.359644512058754,False,-0.3971128714963457,-0.24875512326192192,0.729859821334216,0.6909658744844197,0.16382184304364986,0.17125244684332339,0.08402116780841906,0.009746911265772491,1.9855741241031457e-15,17.592496054248183,20
0.37,4,144,1,1,1020,broad_xyz,22.359644512058754,False,-0.3734592801577389,-0.23562221670412112,0.750286433947849,0.6911396906647302,0.10283377162534975,0.1730712030197442,0.0985128639345713,0.011889353073262726,1.9855741241031457e-15,17.592496054248183,20
0.39,4,144,1,1,1020,broad_xyz,22.359644512058754,False,-0.35085672305905424,-0.22377643838943762,0.7697659148516808,0.6951458958722824,0.07012594975221365,0.17532539030088462,0.11324249014895427,0.014283298339581023,1.9855741241031457e-15,17.592496054248183,20
0.41000000000000003,4,144,1,1,1020,broad_xyz,22.359644512058754,False,-0.33071849315353574,-0.21160992721532407,0.7862110757634251,0.6995943652724205,0.059424993707497695,0.18087668552952457,0.12765240294689192,0.016909163867405368,1.9855741241031457e-15,17.592496054248183,20
0.43,4,144,1,1,1020,broad_xyz,22.359644512058754,False,-0.3136809777403686,-0.19944682011778864,0.798292653209305,0.7034588024405801,0.06605306777640972,0.18689075325290583,0.1411421922091286,0.019712457271478218,1.9855741241031457e-15,17.592496054248183,20
0.45,4,144,1,1,1020,broad_xyz,22.359644512058754,False,-0.2996152567766391,-0.186341723478043,0.8074005736254483,0.7063680163018187,0.08385224544340183,0.1929804490289023,0.1531174935473232,0.022681266196830432,1.9855741241031457e-15,17.592496054248183,20
0.5,4,144,1,1,1020,broad_xyz,22.359644512058754,False,-0.27314833017653123,-0.14961362870547215,0.8234581921571519,0.7128736949582792,0.14937137607964876,0.19675543540876328,0.17316839497290343,0.030606601512238953,1.9855741241031457e-15,17.592496054248183,20
0.55,4,144,1,1,1020,broad_xyz,22.359644512058754,False,-0.20585719910677655,-0.10640463934313883,0.8229259380871092,0.7076479129466088,0.2171062254003656,0.1899034329300425,0.18740519334384578,0.03834545431622045,1.9855741241031457e-15,17.592496054248183,20
0.6,4,144,1,1,1020,broad_xyz,22.359644512058754,False,-0.00828142030780727,-0.05720198435635118,0.8124990466833841,0.7004188457797188,0.29045395137382035,0.2166054603769965,0.19418069526988865,0.04500509474864379,1.9855741241031457e-15,17.592496054248183,20
0.6499999999999999,4,144,1,1,1020,broad_xyz,22.359644512058754,False,0.19134175946905438,-0.004320742100741374,0.7926610344320852,0.6898818139976307,0.3447700154407351,0.30647813621403136,0.19429798666459502,0.0496324814614151,1.9855741241031457e-15,17.592496054248183,20
0.7,4,144,1,1,1020,broad_xyz,22.359644512058754,False,0.2947124723314947,0.05470258489262193,0.7637082254917158,0.658799084977281,0.4110440248069331,0.3925669651193017,0.1902245751449658,0.052005786892173306,1.9855741241031457e-15,17.592496054248183,20
0.725,4,144,1,1,1020,broad_xyz,22.359644512058754,False,0.32702114154453155,0.0880763988320878,0.7451948168545985,0.6362813462705079,0.4307226523370561,0.410126898586657,0.1877024483119747,0.05245991347298104,1.9855741241031457e-15,17.592496054248183,20
0.75,4,144,1,1,1020,broad_xyz,22.359644512058754,False,0.3546210545182269,0.12477296307426292,0.7228219765430677,0.6152789856964267,0.431432452057687,0.4055096765380215,0.18132411800154707,0.05252887946647575,1.9855741241031457e-15,17.592496054248183,20
0.775,4,144,1,1,1020,broad_xyz,22.359644512058754,False,0.3801216432262396,0.16497134389986273,0.695081793246617,0.6009113393330628,0.4177900462050509,0.37948553939588486,0.1767502688107846,0.05231081364034523,1.9855741241031457e-15,17.592496054248183,20
0.8,4,144,1,1,1020,broad_xyz,22.359644512058754,False,0.4044774858261088,0.20825095912958974,0.6604063367795798,0.5957639387781751,0.3992588126012098,0.334690093801878,0.17485644433828942,0.05192884812332695,1.9855741241031457e-15,17.592496054248183,20
0.825,4,144,1,1,1020,broad_xyz,22.359644512058754,False,0.42858416650879827,0.2534020404557604,0.6182544719824214,0.5992256387972801,0.39281403703411705,0.275387381109706,0.18939695839887638,0.05154088599376173,1.9855741241031457e-15,17.592496054248183,20
0.85,4,144,1,1,1020,broad_xyz,22.359644512058754,False,0.4547452372462868,0.29919353920603803,0.5711170486759003,0.6092330810027639,0.3969595831178299,0.20903023301390544,0.2033689293222196,0.05136230608210471,1.9855741241031457e-15,17.592496054248183,20
0.875,4,144,1,1,1020,broad_xyz,22.359644512058754,False,0.4818971919079784,0.34025967390067735,0.5243995693188988,0.6214586985481877,0.401149890393344,0.1473140028385881,0.21658256076947874,0.051511697250175265,1.9855741241031457e-15,17.592496054248183,20
0.9,4,144,1,1,1020,broad_xyz,22.359644512058754,False,0.5087764358196578,0.372189718147493,0.48380511121808534,0.6316689455676179,0.3992676716722856,0.09903566298681328,0.22879672202681223,0.05206789780539607,1.9855741241031457e-15,17.592496054248183,20
0.95,4,144,1,1,1020,broad_xyz,22.359644512058754,False,0.5506103686234984,0.4023470880743598,0.43733495128541766,0.6384583089999505,0.3874273440194976,0.05609316785127527,0.24897348113565315,0.05421122903826896,1.9855741241031457e-15,17.592496054248183,20
1.0,4,144,1,1,1020,broad_xyz,22.359644512058754,False,0.5487041096117014,0.40308493995937794,0.42181813732268436,0.6322284028171284,0.4029634533670901,0.04978085758299031,0.2610105924089853,0.056551505346805225,1.9855741241031457e-15,17.592496054248183,20
