,N,corr_J_rho_exp_mean,corr_J_tot_mean,corr_SL_face_mean,corr_P_pair_mean,corr_N_pair_sum_mean,corr_N_DE,target_max,target_mean,t
0,144,-0.13116275413890136,0.3215411426084203,-0.4815553245974027,-0.501032219685395,-0.4310472583580867,-0.3675545560685652,0.005667158443490172,0.0011248913083690458,0.05
1,144,-0.14478696024897414,0.31244752595394454,-0.5024542031393161,-0.5256302492037559,-0.44257603023461245,-0.3572590001998431,0.013061477830692527,0.0026687526320926147,0.075
2,144,-0.1379011549676079,0.3129194011566687,-0.5167370937576238,-0.5443580213456433,-0.44533247156582534,-0.3434135791236518,0.024012489413918477,0.005095513148728914,0.1
3,144,-0.10094290168003302,0.3245370963120579,-0.5232057650202803,-0.5571958324885404,-0.43724103980543527,-0.3307160452026192,0.039583285706560535,0.008681675295111485,0.125
4,144,-0.020541489711045673,0.35383656252532986,-0.5201263625251044,-0.5632046260337473,-0.4173493671356703,-0.31992665676840326,0.05940254245107317,0.013899881330326594,0.15
5,144,0.04609379826347982,0.3831383659757357,-0.5110619588561401,-0.559853121456669,-0.39658158770809243,-0.3177921936314124,0.07080264672066669,0.017481180523131926,0.1625
6,144,0.1332559280925311,0.4318501409459674,-0.49248138315920165,-0.5477030130607337,-0.3607875791116765,-0.3204463220240025,0.08309709554175586,0.022222897625397045,0.175
7,144,0.23667547703136363,0.5047891988781956,-0.45610042228490294,-0.5181215387349111,-0.294076952457468,-0.3232901552186585,0.09618984977812592,0.02893408099264233,0.1875
8,144,0.35038220008775617,0.5938785038665856,-0.3577831584435986,-0.42954512097540015,-0.15030881013610822,-0.3006954736680316,0.10997392334739205,0.03893455749936346,0.2
9,144,0.4162496027478816,0.6219116497436427,-0.15483720219422556,-0.24421904513261244,0.04970956389767248,-0.25117439853980184,0.1243371405353156,0.05271423820061069,0.2125
10,144,0.40431562898530743,0.5722577916882703,0.10047929899028248,-0.012762169327615373,0.18295691253031646,-0.19180390856418558,0.13916743181129637,0.0696354469291139,0.225
11,144,0.35142657552087647,0.4941994096571844,0.29313830201334773,0.15234485477762436,0.15680479502707315,-0.14036096441957155,0.17234559522967358,0.08845849479814734,0.2375
12,144,0.2971631315200547,0.42701729297005886,0.40809306166562165,0.23292249754065444,0.012443021857885914,-0.10621045998422794,0.2206088676008321,0.10867582526126272,0.25
13,144,0.2467969114633733,0.36620939481571035,0.48820072044376944,0.23874087534823174,-0.2629959698254687,-0.08095130476398348,0.2996926297489651,0.1425212889068058,0.27
14,144,0.2577495989793235,0.36016049454773763,0.5015533198763649,0.15848288059797713,-0.4444024325311011,-0.07264293153847995,0.37408641376345586,0.17576657337270707,0.29
15,144,0.3231594094726404,0.3986308767872168,0.4844614013631785,0.046073717390855834,-0.5233438777760261,-0.05940055877111393,0.4387856360092298,0.20583338096514048,0.31
16,144,0.43306511180992946,0.4767840914634783,0.45197515324284504,-0.06528692186419002,-0.518508550945412,-0.02335415814166701,0.4836779009122954,0.23049576128953386,0.33
17,144,0.5691865260283588,0.5880418550929511,0.40882551955418855,-0.16697572134422498,-0.44337826221890464,0.037337209125767504,0.5056148084235654,0.2482434049857981,0.35
18,144,0.7003275615293949,0.7074208013201936,0.36270616963912833,-0.2635985275474576,-0.3128741195808242,0.09769337215217878,0.5062138738859462,0.2589057717997238,0.37
19,144,0.7907235124134377,0.7974792546129325,0.3500780967316464,-0.330285693380704,-0.19556109461701926,0.11488551891915014,0.4962932082474795,0.2649045791856911,0.39
20,144,0.8352169753558621,0.8551436604467897,0.3678770265444986,-0.37415464840767376,-0.12399509333874013,0.07255701764322958,0.49795145878908187,0.26807180254604024,0.41000000000000003
21,144,0.8328910782599775,0.8823996354008931,0.3955049104286678,-0.4109532582343254,-0.11437202066001015,-0.0056112641287936445,0.5050855856537344,0.2696745271156934,0.43
22,144,0.7891228174920161,0.8815973521568375,0.4164946035403896,-0.4498565209359971,-0.15922994599407952,-0.09678088744454581,0.5155509524798391,0.27086034346470683,0.45
