,state_id,t,N_points,r_J_rho_exp_I3,r_J_tot_I3,r_eta_I3,r_P_pair_I3,r_N_pair_sum_I3,rho_J_rho_exp_I3,rho_J_tot_I3,rho_eta_I3,rho_P_pair_I3,rho_N_pair_sum_I3,I3_max,I3_mean
0,0,0.1,400,0.5243636153661879,0.3909247086536398,0.42238641631921253,-0.8133905009355218,-0.853756495373725,0.5582625313150551,0.3635768405259173,0.4511841822692843,-0.8323343581524453,-0.8336254914641159,0.0027606520606947293,0.0012285337558989276
1,0,0.15,400,0.49327881113004435,0.34937996831511503,0.41047190141652257,-0.7184901421975355,-0.7484511596987183,0.41634560216001343,0.32731554572216076,0.3221909627682359,-0.758054487840549,-0.738188363677273,0.006805046018568593,0.002814784977031789
2,0,0.2,400,0.4869160996654194,0.298761630666629,0.42642219364734374,-0.60676128741048,-0.6094100995441126,0.3182350514690717,0.28605460034125213,0.2247689461492801,-0.6761796636228976,-0.6277608610053812,0.013953233160875628,0.005366902771463708
3,0,0.25,400,0.46260397243810436,0.24449752973205371,0.42839485832968643,-0.4902046645073099,-0.4776811666648709,0.2592321827011419,0.2319537622110138,0.19171947310652235,-0.5773425458909118,-0.5150677816736354,0.025262688910823575,0.009155649938519883
4,0,0.3,400,0.35754032429767957,0.20640126920185692,0.34601431240960245,-0.4010355477994792,-0.43847642649640783,0.19698929368308551,0.1901558134738342,0.12783858307845736,-0.4666317289483059,-0.41943468396677475,0.04100348916818851,0.01419114898733402
5,0,0.4,400,-0.08647487197534941,0.19997302439797204,-0.11999812711472835,-0.4029316382962441,-0.6083312094754261,-0.1290568691054319,0.15909099431871448,-0.17309545397486095,-0.4965681660510378,-0.4917525734535841,0.07914017512498471,0.025868733769264223
6,0,0.5,400,-0.0044958616712372996,0.27533593398248424,-0.1148360709619383,-0.4184029925364206,-0.17463800617618305,-0.0046468415427596416,0.25046312789454933,-0.12763567843954532,-0.5924429527684547,-0.26305608160050997,0.09863433476981856,0.03460904891984287
7,0,0.6,400,0.5105906416884873,0.44368058419056244,0.3446524281142133,-0.12207633416651745,0.028484397814659806,0.45321545759660986,0.4687806798792492,0.3093535326868238,-0.2397174357339733,0.04734873342958393,0.13307137393695062,0.043373033636530306
8,0,0.7,400,0.559588566014449,0.4966223423563603,0.36389318785561664,0.062453846883961064,-0.14428377277483234,0.4961387782333662,0.5265479856151865,0.3362021765494473,0.072173328038535,-0.039842978606572405,0.17199077665988757,0.05679643672825427
9,0,0.8,400,0.32070006556947445,0.5036298443311549,0.037449967381633795,0.3586614454814318,0.30574772441485104,0.34619142575102463,0.5215871239076822,0.0355581201000714,0.38995349029088283,0.3319806986114171,0.19627446574829743,0.06937187030889344
10,0,1.0,400,0.1367439059545176,0.5092251912091301,-0.04748093701294238,0.5229201573125017,0.08040217113880058,0.27297070902198123,0.5206147791306045,0.09044202587245777,0.5525138059521945,0.11761982150818867,0.34787009728575,0.08373669012220926
11,1,0.1,400,0.6701031242721669,0.056300668931234796,0.6985723999916263,0.6170017189905223,0.543476372810108,0.7215359148912084,0.07814766036400449,0.7865246924249681,0.7256266811743667,0.7165906505423356,0.003822057315557948,0.0005007415612443912
12,1,0.15,400,0.5974005324458388,0.03764321345917492,0.6555215892825482,0.6194104946181527,0.6077537160086817,0.6778363675725584,0.06546891693506884,0.7873937591273239,0.7150397047370773,0.7594016853623942,0.009894043245251193,0.0013316459876856486
13,1,0.2,400,0.368716921911394,0.010530508121435068,0.4860235678440116,0.6126170369582148,0.6446772329051808,0.49204534904908753,0.04457696705177879,0.5765211873602988,0.7103506078861547,0.7377394122952502,0.0204061362364739,0.0028154129075962236
14,1,0.25,400,-0.04118992224474092,-0.01836453447674439,0.07834719236267851,0.5919469515296739,0.5293039321718661,0.09712967808416692,0.08648796153753287,0.18548368567738305,0.6976921317402732,0.516741131090191,0.03647413401364517,0.005143902081330632
15,1,0.3,400,-0.2126952581129321,-0.04197942523250809,-0.11421356218212873,0.5509485865884695,0.11821926882777785,-0.0018585857187464157,0.2052405457272807,0.023607240733328053,0.6100950378318064,0.13873857682213822,0.05878056589411225,0.008437788266283264
16,1,0.4,400,-0.10485240003540176,-0.08894532463449831,-0.01387355707475416,0.442839833714522,-0.62214093596755,0.2131289035947122,0.3249327960162873,0.16388019938213608,0.49010198024160356,-0.3040790301553548,0.11622180851797359,0.01668749017680545
17,1,0.5,400,0.13311678402720062,-0.15892445605904731,0.25740914889119093,0.43318649947159565,-0.5474300616469101,0.4385677187754128,0.11213579702443516,0.4184291888451366,0.5514603867662148,0.06966982243008583,0.16207264706619146,0.022643577597396446
18,1,0.6,400,0.49383388881522255,-0.08763864818994052,0.5728931429950632,0.3629547102071121,0.12709116101728404,0.6245263367008557,-0.03564082886890965,0.5881334917216438,0.2510632998970783,0.4162462375593138,0.14780832914828007,0.02751861381986802
19,1,0.7,400,0.08229684141233798,0.10835030603425674,0.042087363376788284,0.2300489514504462,0.25283343034930317,-0.10427910808031,0.1441527187272454,-0.15722637710518955,0.12410840994197653,0.3327206356917788,0.1533248935566773,0.03583230846524369
20,1,0.8,400,0.07213414520340528,0.2985924254696574,-0.050045862533373016,0.40224748835874935,0.32025256776233174,0.07110720775265116,0.4035595979149187,-0.10529277612714359,0.505874694068352,0.4399946449655347,0.1892354405656263,0.051401244068775026
21,1,1.0,400,0.220670557421166,0.15071479011863,0.15741872850536096,0.27640565662823213,0.41999832682165805,0.12138949748706651,0.15751931967017935,-0.044685601722769815,0.2590743620970914,0.43878859129319275,0.19433679206694965,0.055459369010791064
22,2,0.1,400,-0.08326937303813774,0.08596564940725386,-0.058494892875843175,0.17891783466650868,0.24423048449012946,-0.061306932555548165,0.17179387834199583,-0.1375229106094734,0.12052816634537533,0.15030720727766614,0.0011039509297167665,0.000247847562845589
23,2,0.15,400,0.1035835052216108,-0.012711724794460132,0.22949062891289843,0.2144196377681959,0.2789992980643555,0.05893767747738866,0.0878212380819015,0.09938937448709564,0.1297802848077188,0.17281397864423492,0.003336360437831684,0.000757725863663852
24,2,0.2,400,0.3432105830790536,-0.09432499377548847,0.5593819734541092,0.2297604187237339,0.2924227656301106,0.28695594071453834,0.05151224714877492,0.367751494903139,0.14588246670800617,0.22031248006891488,0.008750645702343927,0.0018757421479988939
25,2,0.25,400,0.5093945517898472,-0.1513350062300066,0.7361201431797053,0.24284829407777322,0.28306300550640345,0.532334995059691,0.02981363089204066,0.6491134136048252,0.17210833380087812,0.21416715738397085,0.019061364971152885,0.00403854365815263
26,2,0.3,400,0.5736677991661945,-0.18069160221887023,0.8042284464191002,0.28748365775884344,0.24942068463789757,0.6889138510828354,0.07324627318032968,0.7908904373394499,0.33322178150141424,0.2814464281432227,0.03559637894390219,0.007910005610396297
27,2,0.4,400,0.5791442228335695,-0.18311096648334563,0.8311722588807066,0.3796287047992464,0.3170198447891492,0.662154150980042,0.04136777459720315,0.7997177673220631,0.3812521909098963,0.39868253362679407,0.08323690782881527,0.021484715519676158
28,2,0.5,400,0.5136040112041206,-0.15962948545578448,0.7490129063397198,0.3406970992383066,0.3190837074823626,0.5575138721233,-0.019189759864070243,0.6877418636242169,0.25380779193109565,0.41554906254801116,0.12355097811182708,0.03597272720150482
29,2,0.6,400,0.4523468674912905,-0.06819110614250076,0.6164294898192733,0.08586337394475531,0.24011402971796536,0.417687752130902,-0.03712170431226605,0.48018789444288057,-0.025227181320376827,0.28777594338971957,0.12884583879706712,0.043618454368758615
30,2,0.7,400,0.4139626639119753,0.21681130042070135,0.4235627932165987,-0.18495661292852833,-0.11396751282497858,0.2962495216962072,0.22504013579960536,0.264079067715953,-0.1788295323172115,-0.06299120914777018,0.10737050954759186,0.04677172799981608
31,2,0.8,400,0.44141781653037493,0.6452638954164092,0.2466154708388864,-0.1795775205550529,-0.19618438089664564,0.43768754804717525,0.6629321433258958,0.19829503000695034,-0.1885571784823655,-0.20847017793861208,0.10355570556085339,0.05137976085870879
32,2,1.0,400,0.4452555779870338,0.5689239794031078,0.2710238146142077,-0.15300993210715375,-0.22683705468584228,0.4443690667964232,0.5840122970155178,0.2717007681687752,-0.20837500690299837,-0.32876987826863296,0.19647587178165377,0.07758605198201274
33,3,0.1,400,0.59152569095476,0.2668342139408227,0.4125164973758144,0.579547476321098,0.5826991880863888,0.6328672447903719,0.34278733193347366,0.2779542292573161,0.5239109820426219,0.4772070581590476,0.00289382403653898,0.0010594529883066065
34,3,0.15,400,0.3920636748981789,0.20385620834863558,0.23386319292678623,0.6169563820599594,0.6081138783723018,0.3746622020800835,0.30989113375665356,0.12105835539829783,0.5159631765372936,0.4556026601667298,0.007682654007084448,0.0027385935658494395
35,3,0.2,400,0.26612215084411456,0.12994369320695434,0.2038837825397413,0.635783032131835,0.5748373779166284,0.29933969795277116,0.271403314221983,0.1551684396355371,0.46961200943964326,0.3767694498665293,0.016247321876163345,0.005557984387818023
36,3,0.25,400,0.24475191338490576,0.05664822773789881,0.24761996502986341,0.6234806893566022,0.4041509667006135,0.2762094154614669,0.2372024812008581,0.20712011717579384,0.3820730977308854,0.1851230147196241,0.029856065429261155,0.00969631343018354
37,3,0.3,400,0.24332048645975002,-0.010087246480586525,0.29512204263247027,0.5667278417244567,0.03383449257273068,0.2836248601659286,0.22051305376711966,0.25407693959738303,0.2481491025318401,-0.15412310702576976,0.04916451899797447,0.015037829401635738
38,3,0.4,400,0.2450296805473773,-0.11985370117322659,0.39435189336077664,0.33546779175207997,-0.267792818987605,0.3401229890765614,0.2258081032435866,0.2993216130792576,0.06513951310769928,-0.3474644272791367,0.09717642226530432,0.0266856327966669
39,3,0.5,400,0.12785459068817553,-0.1733357427701995,0.3421306069158767,0.199622397955525,-0.007637218261070813,0.1819147282577043,0.18182003979306485,0.03264350873418883,0.043880134529210676,-0.07274942863536818,0.1308458595473545,0.03393692682613404
40,3,0.6,400,-0.04752491774685072,-0.06431860564456485,0.015922856601267087,0.12148925718772602,-0.12799363877721126,0.013491834323964523,0.16139894624341397,-0.09992282581065018,0.01865524159525997,-0.1791352445952787,0.12168384953594275,0.03657891328222423
