t,N,n_points,base_seed_requested,effective_base_seed,state_seed,family,family_min_jtot,health_check,corr_J_rho,corr_J_tot,corr_SL,corr_P_pair,corr_N_pair,corr_N_env,target_max,target_mean,J_tot_min_grid,J_tot_mean_grid,state_idx
0.05,8,144,1,1,1048,broad_xyz,21.99112410904393,False,-0.1824588328080454,0.3519931685579711,-0.5308793831807105,-0.5345109617721746,-0.5203698938700149,0.6504662327188262,0.0019000472982505679,0.0002196722097703633,2.2119365552471064e-15,17.487037648106664,38
0.075,8,144,1,1,1048,broad_xyz,21.99112410904393,False,-0.1372865875409031,0.366745427017855,-0.5568096477334804,-0.5672966993467341,-0.5694064221963724,0.7012614063975913,0.004953134855494179,0.0006431242657934494,2.2119365552471064e-15,17.487037648106664,38
0.1,8,144,1,1,1048,broad_xyz,21.99112410904393,False,-0.039020371577362434,0.3951442692243787,-0.5689067605206417,-0.6108070094384292,-0.6346372502327642,0.7384343038203613,0.010153695495875328,0.0015670490655344223,2.2119365552471064e-15,17.487037648106664,38
0.125,8,144,1,1,1048,broad_xyz,21.99112410904393,False,0.10508585103992835,0.4458582439868546,-0.5427913917722812,-0.6554772103531534,-0.6710989622518261,0.7497661026909817,0.018237385484823083,0.003460997351615752,2.2119365552471064e-15,17.487037648106664,38
0.15,8,144,1,1,1048,broad_xyz,21.99112410904393,False,0.2883171137403936,0.5451546671547219,-0.44317091990569685,-0.6909746262123373,-0.5911195954387856,0.7191968798927818,0.02909862913279628,0.0074669101470164435,2.2119365552471064e-15,17.487037648106664,38
0.1625,8,144,1,1,1048,broad_xyz,21.99112410904393,False,0.37818254565599607,0.603840142357747,-0.36521647034072974,-0.7005620062891558,-0.398570301153634,0.6868417472360318,0.03541082834948241,0.010707211890410566,2.2119365552471064e-15,17.487037648106664,38
0.175,8,144,1,1,1048,broad_xyz,21.99112410904393,False,0.4542758826466311,0.6588750204402524,-0.2783983882476985,-0.707850161222288,-0.012172729775183964,0.6452305386711861,0.042424758015608695,0.014991317187456813,2.2119365552471064e-15,17.487037648106664,38
0.1875,8,144,1,1,1048,broad_xyz,21.99112410904393,False,0.5096995989056549,0.7021159965969233,-0.1931547466692714,-0.7145821818340545,0.28839403285195736,0.6015312969650972,0.05048500488482795,0.020152553488247623,2.2119365552471064e-15,17.487037648106664,38
0.2,8,144,1,1,1048,broad_xyz,21.99112410904393,False,0.5504925305592323,0.7354911232407982,-0.11544081906316814,-0.726169250288038,0.40435775938672464,0.5639752814394617,0.059363286101696514,0.025951302793919065,2.2119365552471064e-15,17.487037648106664,38
0.2125,8,144,1,1,1048,broad_xyz,21.99112410904393,False,0.5726270893314136,0.7555106684395805,-0.05053762996984505,-0.744503773868402,0.4558541637208789,0.5351204060978227,0.0680882596138416,0.03208273356765596,2.2119365552471064e-15,17.487037648106664,38
0.225,8,144,1,1,1048,broad_xyz,21.99112410904393,False,0.5839993207819293,0.7687396271912499,0.009664813935927804,-0.766345062725417,0.4847233498635436,0.5102381519597677,0.07720098247788723,0.038415556181227925,2.2119365552471064e-15,17.487037648106664,38
0.2375,8,144,1,1,1048,broad_xyz,21.99112410904393,False,0.5931812572070674,0.7815528626263876,0.07192860075128972,-0.7928499414595742,0.5022867772385143,0.4872451904869665,0.08564680297770821,0.045054229512126544,2.2119365552471064e-15,17.487037648106664,38
0.25,8,144,1,1,1048,broad_xyz,21.99112410904393,False,0.6095188684019073,0.8005053711948783,0.14606465114772169,-0.8238880326045469,0.5067508459957575,0.4612145965181059,0.0933935770823512,0.05221286786848342,2.2119365552471064e-15,17.487037648106664,38
0.27,8,144,1,1,1048,broad_xyz,21.99112410904393,False,0.6754615892693855,0.8573062547812731,0.32061344413731646,-0.867696634089236,0.4519655163080136,0.3901642485419211,0.10593017035453836,0.06587590303890355,2.2119365552471064e-15,17.487037648106664,38
0.29,8,144,1,1,1048,broad_xyz,21.99112410904393,False,0.7645739336801919,0.9107094066490118,0.5431320036009473,-0.8531938551098323,0.285422853980151,0.25745668225582397,0.11795340760060072,0.08204519372550584,2.2119365552471064e-15,17.487037648106664,38
0.31,8,144,1,1,1048,broad_xyz,21.99112410904393,False,0.7881777169736173,0.9136344880259271,0.6694255255700723,-0.8280699051617939,0.1208669741128638,0.16014655302803577,0.13328223805107678,0.09404242533839478,2.2119365552471064e-15,17.487037648106664,38
0.33,8,144,1,1,1048,broad_xyz,21.99112410904393,False,0.7776525929395565,0.9155480517174543,0.7145099779362926,-0.8632913834910692,0.058979199828483486,0.16394607733357672,0.15168326133869597,0.09828343058408988,2.2119365552471064e-15,17.487037648106664,38
0.35,8,144,1,1,1048,broad_xyz,21.99112410904393,False,0.7590721343659924,0.9117936525643293,0.7536374102689086,-0.8880509224843713,0.031019264440007552,0.19318302678450247,0.1611969488956246,0.09774876529510737,2.2119365552471064e-15,17.487037648106664,38
