regime_label,description,sign,sign_label,lambda_h_over_Jbar,Jbar_RMS,R_internal_norm,h,J_CD,include_D_transverse,env_label,t,N,corr_J_rho_exp,corr_eta,corr_S_L,corr_P_pair,corr_N_pair_sum,corr_J_tot,mean_J_tot,std_J_tot,J_tot_analytic,max_I3_minus,mean_I3_minus,median_I3_minus,max_J_rho_exp,mean_J_rho_exp,median_J_rho_exp,mean_S_ABC,mean_S_L,mean_P_pair,mean_N_pair_sum,theta_at_max_I3,phi_at_max_I3
ferro_interaction_dominated,"ferromagnetic-like, interaction-dominated",-1.0,ferro_like_all_negative,0.25,1.0,1.7320508075688772,0.25,0.2,True,D_with_TF,0.02,400,-0.47132027609959276,-0.47132027609959265,,-0.5292494043839013,-0.06394772109418576,,0.10825317547305482,1.0838898772828418e-17,0.10825317547305482,6.373977621302785e-09,1.4406525529720076e-09,0.0,0.021658224271501735,0.011810553078383926,0.011200152126559974,1.2214241986275855e-08,7.455987349747062e-10,0.020647507128981776,0.041755233614350004,1.5707963267948966,0.24802047265182575
ferro_interaction_dominated,"ferromagnetic-like, interaction-dominated",-1.0,ferro_like_all_negative,0.25,1.0,1.7320508075688772,0.25,0.2,True,D_with_TF,0.04,400,-0.47172001072033937,-0.47172001072033964,,-0.5227856953411385,-0.05312438370884949,,0.10825317547305482,1.0838898772828418e-17,0.10825317547305482,9.159011165013645e-08,2.106545681913078e-08,0.0,0.022035512641298535,0.011843296411060196,0.011104988695597352,1.7198164850042932e-07,1.1959811846429246e-08,0.06893781939470348,0.0820305876561335,1.5707963267948966,0.24802047265182575
ferro_interaction_dominated,"ferromagnetic-like, interaction-dominated",-1.0,ferro_like_all_negative,0.25,1.0,1.7320508075688772,0.25,0.2,True,D_with_TF,0.06,400,-0.4717537747157095,-0.471753774715709,-0.1765974440275867,-0.5171718645544622,-0.04454289344644016,,0.10825317547305482,1.0838898772828418e-17,0.10825317547305482,4.3235799948029795e-07,1.0097694172323387e-07,0.0,0.022447370220029912,0.011881081816664568,0.010913535189642857,8.016638884449239e-07,6.06940272468437e-08,0.1369925842814768,0.1207270710624002,1.5707963267948966,0.24802047265182575
ferro_interaction_dominated,"ferromagnetic-like, interaction-dominated",-1.0,ferro_like_all_negative,0.25,1.0,1.7320508075688772,0.25,0.2,True,D_with_TF,0.08,400,-0.47212988535975303,-0.47212988535975303,-0.15483365553102263,-0.510518314786768,-0.03664010844057196,,0.10825317547305482,1.0838898772828418e-17,0.10825317547305482,1.2987254372687583e-06,3.0783046135388153e-07,0.0,0.022876775523658525,0.011927162781634096,0.010693866691443975,2.379637418052783e-06,1.9227016971545828e-07,0.2203899385777763,0.15773715832010304,1.2611549948380762,0.0
ferro_interaction_dominated,"ferromagnetic-like, interaction-dominated",-1.0,ferro_like_all_negative,0.25,1.0,1.7320508075688772,0.25,0.2,True,D_with_TF,0.1,400,-0.4728995856657388,-0.4728995856657386,-0.13236692933147823,-0.5020939605731352,-0.02896292723200754,,0.10825317547305482,1.0838898772828418e-17,0.10825317547305482,3.0505226684572736e-06,7.334913779681539e-07,0.0,0.023321694911710437,0.0119825228135215,0.010488001805908597,5.51889925890332e-06,4.7045125273897925e-07,0.31584851528285385,0.19295053317097022,1.2611549948380762,0.0
ferro_interaction_dominated,"ferromagnetic-like, interaction-dominated",-1.0,ferro_like_all_negative,0.25,1.0,1.7320508075688772,0.25,0.2,True,D_with_TF,0.14,400,-0.47643402574603977,-0.47643402574603955,-0.08568836506837195,-0.4781230923435488,-0.013166591215135057,,0.10825317547305482,1.0838898772828418e-17,0.10825317547305482,1.1063152130570123e-05,2.750846028574467e-06,0.0,0.02424943960136336,0.012126876134935509,0.010089984782173371,1.9520900263190204e-05,1.8146674634206272e-06,0.5325738480992653,0.25755741280591643,1.2611549948380762,0.0
ferro_interaction_dominated,"ferromagnetic-like, interaction-dominated",-1.0,ferro_like_all_negative,0.25,1.0,1.7320508075688772,0.25,0.2,True,D_with_TF,0.18,400,-0.4825156236386977,-0.4825156236386978,-0.03730357585222933,-0.44295937041395156,0.0029056265105646436,,0.10825317547305482,1.0838898772828418e-17,0.10825317547305482,2.9032386049848734e-05,7.512923708321965e-06,0.0,0.02521250961530513,0.012326295498235194,0.009629760283986431,4.991224622498474e-05,4.976500147066409e-06,0.7695642184487852,0.31375315926408176,1.2611549948380762,0.08267349088394192
ferro_interaction_dominated,"ferromagnetic-like, interaction-dominated",-1.0,ferro_like_all_negative,0.25,1.0,1.7320508075688772,0.25,0.2,True,D_with_TF,0.21999999999999997,400,-0.49070942706909904,-0.49070942706909887,0.011989447876941008,-0.39573905355968453,0.01836128759439704,,0.10825317547305482,1.0838898772828418e-17,0.10825317547305482,6.307682816816303e-05,1.7060180553119885e-05,7.923286035066846e-08,0.026191802707668733,0.012580555944434812,0.009715727565334894,0.00010524406201825813,1.1138804193231155e-05,1.0127642007903603,0.36089370558778033,1.1837446618488712,0.0
ferro_interaction_dominated,"ferromagnetic-like, interaction-dominated",-1.0,ferro_like_all_negative,0.25,1.0,1.7320508075688772,0.25,0.2,True,D_with_TF,0.26,400,-0.5000837149861194,-0.5000837149861189,0.06067496166249385,-0.3369644933576935,0.030468550674008155,,0.10825317547305482,1.0838898772828418e-17,0.10825317547305482,0.00012132569931213054,3.435622652626045e-05,2.035557715764579e-06,0.027167666235244515,0.012884406908324677,0.009980494047719175,0.00019527362545557393,2.1782590906165577e-05,1.2506650293167694,0.3985375283101233,1.1837446618488712,0.0
ferro_interaction_dominated,"ferromagnetic-like, interaction-dominated",-1.0,ferro_like_all_negative,0.25,1.0,1.7320508075688772,0.25,0.2,True,D_with_TF,0.3,400,-0.5094029592666687,-0.5094029592666688,0.10802114002180369,-0.2685801813373163,0.034046151585329476,,0.10825317547305482,1.0838898772828418e-17,0.10825317547305482,0.00021347693760432468,6.353273471888927e-05,7.970386065145774e-06,0.02812036830087406,0.013224539705544283,0.010501023093199762,0.0003307554314518157,3.868273937396055e-05,1.473945766321367,0.4264890733772953,1.1837446618488712,0.08267349088394192
ferro_interaction_dominated,"ferromagnetic-like, interaction-dominated",-1.0,ferro_like_all_negative,0.25,1.0,1.7320508075688772,0.25,0.2,True,D_with_TF,0.3277777777777778,400,-0.5153048683126912,-0.5153048683126916,0.13941370011131213,-0.2169523399715866,0.02637719612545846,,0.10825317547305482,1.0838898772828418e-17,0.10825317547305482,0.0003034242547375366,9.363239503552053e-05,1.734167475774158e-05,0.028758091148289786,0.01347428984087331,0.011062353053191372,0.0004576645398242312,5.517808737874164e-05,1.616474841309105,0.4402339437007468,1.106334328859666,0.08267349088394192
ferro_interaction_dominated,"ferromagnetic-like, interaction-dominated",-1.0,ferro_like_all_negative,0.25,1.0,1.7320508075688772,0.25,0.2,True,D_with_TF,0.35555555555555557,400,-0.520562744207911,-0.5205627442079112,0.16907411889595086,-0.16327535043994282,0.004029394651469698,,0.10825317547305482,1.0838898772828418e-17,0.10825317547305482,0.0004215213564355253,0.0001343658646395447,3.237653912596531e-05,0.029369046905927856,0.013726562119254986,0.011356461017814543,0.0006161158570681249,7.644891629733225e-05,1.7465275395888984,0.4494686271527834,1.106334328859666,0.08267349088394192
ferro_interaction_dominated,"ferromagnetic-like, interaction-dominated",-1.0,ferro_like_all_negative,0.25,1.0,1.7320508075688772,0.25,0.2,True,D_with_TF,0.3833333333333333,400,-0.5249424088177026,-0.5249424088177025,0.19670963456488075,-0.10887193000872047,-0.04071976926418547,,0.10825317547305482,1.0838898772828418e-17,0.10825317547305482,0.0005711052431517062,0.00018842701373320795,5.566052397483874e-05,0.029947252921291655,0.013975857324822823,0.011641605343537042,0.000810290350603193,0.00010332786082159733,1.8626749122917372,0.45440915000525806,1.106334328859666,0.08267349088394192
ferro_interaction_dominated,"ferromagnetic-like, interaction-dominated",-1.0,ferro_like_all_negative,0.25,1.0,1.7320508075688772,0.25,0.2,True,D_with_TF,0.4111111111111111,400,-0.5284154453862968,-0.5284154453862965,0.22194968933626344,-0.054787975776555094,-0.11200254971407589,,0.10825317547305482,1.0838898772828418e-17,0.10825317547305482,0.0007591569295617531,0.00025869998312367707,9.755680771491649e-05,0.030487065394721208,0.014217016342517326,0.01197045155264105,0.0010444656358159041,0.00013670843341686612,1.9639212030248094,0.4553779456301551,1.4933859938056915,0.4960409453036515
ferro_interaction_dominated,"ferromagnetic-like, interaction-dominated",-1.0,ferro_like_all_negative,0.25,1.0,1.7320508075688772,0.25,0.2,True,D_with_TF,0.4388888888888889,400,-0.5312052306229665,-0.5312052306229662,0.24401928518132115,-0.0018273074015109593,-0.19781527502295093,,0.10825317547305482,1.0838898772828418e-17,0.10825317547305482,0.000989767187036153,0.0003483589250669361,0.00015497697108642755,0.030983243115813245,0.0144432725159832,0.0125776550874708,0.0013229927365345081,0.00017754287536138309,2.049686155300484,0.4528297932658482,1.4933859938056915,0.4960409453036515
ferro_interaction_dominated,"ferromagnetic-like, interaction-dominated",-1.0,ferro_like_all_negative,0.25,1.0,1.7320508075688772,0.25,0.2,True,D_with_TF,0.4666666666666667,400,-0.5334172340436661,-0.5334172340436659,0.26286440809576367,0.049128354053181625,-0.2746073975073326,,0.10825317547305482,1.0838898772828418e-17,0.10825317547305482,0.0012714643326503326,0.00046058968322116233,0.00023674658331315627,0.03143100609458518,0.014648735981426606,0.013081293301962553,0.0016502742396995679,0.00022683986043450148,2.119782210929662,0.4473982221917456,1.4933859938056915,0.5787144361875934
ferro_interaction_dominated,"ferromagnetic-like, interaction-dominated",-1.0,ferro_like_all_negative,0.25,1.0,1.7320508075688772,0.25,0.2,True,D_with_TF,0.49444444444444446,400,-0.5347998924494257,-0.5347998924494253,0.27819451651264143,0.09746128528344085,-0.33335949903449424,,0.10825317547305482,1.0838898772828418e-17,0.10825317547305482,0.0016055894505579015,0.0005986363222578481,0.00033262863203690454,0.03182608840310412,0.01482873536163047,0.013284672108626785,0.0020307438104700372,0.00028566207287789773,2.17438616199224,0.4399498821563468,1.5707963267948966,0.5787144361875934
ferro_interaction_dominated,"ferromagnetic-like, interaction-dominated",-1.0,ferro_like_all_negative,0.25,1.0,1.7320508075688772,0.25,0.2,True,D_with_TF,0.5222222222222223,400,-0.5360493806335549,-0.5360493806335552,0.29012847030575994,0.14344786962212677,-0.37874674934452796,,0.10825317547305482,1.0838898772828418e-17,0.10825317547305482,0.0019918460581114673,0.0007649279406786005,0.00047829153167033216,0.03216478462412335,0.014979521890804409,0.013429469537647842,0.002468847023309285,0.00035512367761260654,2.214005281343639,0.431522643911238,1.5707963267948966,0.5787144361875934
ferro_interaction_dominated,"ferromagnetic-like, interaction-dominated",-1.0,ferro_like_all_negative,0.25,1.0,1.7320508075688772,0.25,0.2,True,D_with_TF,0.55,400,-0.5368501334758847,-0.5368501334758847,0.2979155355936273,0.186615237844694,-0.4142412748608611,,0.10825317547305482,1.0838898772828418e-17,0.10825317547305482,0.00244397627334143,0.0009611638222787546,0.0006848538003190526,0.03244398938921392,0.015098170058611377,0.013800375112273462,0.002969023453362063,0.00043638769691870747,2.2394384177882074,0.4231151873623984,1.5707963267948966,0.6613879270715354
ferro_interaction_dominated,"ferromagnetic-like, interaction-dominated",-1.0,ferro_like_all_negative,0.25,1.0,1.7320508075688772,0.25,0.2,True,D_with_TF,0.64,400,-0.5384152675951615,-0.5384152675951616,0.2912703355060162,0.30969698684332786,-0.46785637049444556,,0.10825317547305482,1.0838898772828418e-17,0.10825317547305482,0.004267119046788296,0.0018053369608870573,0.001823740957327286,0.03291474644179642,0.015243405761807452,0.014342318944124967,0.005068673461870273,0.0007955452387340125,2.238254082933602,0.40366104013814263,1.5707963267948966,0.7440614179554773
ferro_interaction_dominated,"ferromagnetic-like, interaction-dominated",-1.0,ferro_like_all_negative,0.25,1.0,1.7320508075688772,0.25,0.2,True,D_with_TF,0.73,400,-0.5263647786000314,-0.5263647786000312,0.21177197941761036,0.40070862158993237,-0.4378030489969392,,0.10825317547305482,1.0838898772828418e-17,0.10825317547305482,0.006538267206491668,0.002882531718832975,0.0031996110658148273,0.03273582060039953,0.015057498931867187,0.014337604276038257,0.008012330691549961,0.001335674140060734,2.1474423333364587,0.39931369933706606,1.3385653278272813,0.9094083997233612
ferro_interaction_dominated,"ferromagnetic-like, interaction-dominated",-1.0,ferro_like_all_negative,0.25,1.0,1.7320508075688772,0.25,0.2,True,D_with_TF,0.8200000000000001,400,-0.4481629756623151,-0.448162975662315,0.03355965127303313,0.4125832714958075,-0.26699677290973034,,0.10825317547305482,1.0838898772828418e-17,0.10825317547305482,0.009558860657925543,0.003983870653222326,0.003756570181385893,0.032083713969447605,0.014791992632343355,0.014283400823702372,0.01193746197823558,0.0021045216823064984,2.021224482135519,0.40331609406953556,1.2611549948380762,0.992081890607303
ferro_interaction_dominated,"ferromagnetic-like, interaction-dominated",-1.0,ferro_like_all_negative,0.25,1.0,1.7320508075688772,0.25,0.2,True,D_with_TF,0.91,400,-0.3080963795700874,-0.30809637957008734,-0.0977759711597123,0.3438361022641142,-0.06448774187484528,,0.10825317547305482,1.0838898772828418e-17,0.10825317547305482,0.013633653554004095,0.00526862480638459,0.004786498175141011,0.030918258853843035,0.014628874932154392,0.0138686160914421,0.01696886894001871,0.003152461040708692,1.911508240266047,0.41109726918919975,1.1837446618488712,0.992081890607303
ferro_interaction_dominated,"ferromagnetic-like, interaction-dominated",-1.0,ferro_like_all_negative,0.25,1.0,1.7320508075688772,0.25,0.2,True,D_with_TF,1.0,400,-0.19911804203524447,-0.1991180420352446,-0.1284864491804971,0.2966061471700541,-0.05687245772988443,,0.10825317547305482,1.0838898772828418e-17,0.10825317547305482,0.018863792583118565,0.00698022995065172,0.006791343613477099,0.02935695937444003,0.014361729940481061,0.01331214269590173,0.023215856286673817,0.0045313660814520675,1.8575334573268174,0.42549747888058786,1.1837446618488712,1.074755381491245
ferro_near_critical_like,"ferromagnetic-like, near-critical-like finite-size regime",-1.0,ferro_like_all_negative,1.0,1.0,1.7320508075688772,1.0,0.2,True,D_with_TF,0.02,400,-0.4842793684917637,-0.4842793684917636,,-0.5793028135814265,-0.053001671007841235,,1.7320508075688772,1.7342238036525468e-16,1.7320508075688772,8.084911778377672e-08,1.886591454148143e-08,0.0,0.3572444523495059,0.19487376152817848,0.18714159418137483,1.727692222723205e-07,1.2017480486847809e-08,0.020887981618182377,0.0420144194567718,1.5707963267948966,0.24802047265182575
ferro_near_critical_like,"ferromagnetic-like, near-critical-like finite-size regime",-1.0,ferro_like_all_negative,1.0,1.0,1.7320508075688772,1.0,0.2,True,D_with_TF,0.04,400,-0.49268293040349914,-0.49268293040349936,-0.19157379875931393,-0.6247878772204101,-0.040375225996600574,,1.7320508075688772,1.7342238036525468e-16,1.7320508075688772,1.1307965320093868e-06,2.7007514715919616e-07,0.0,0.3743246426666863,0.20145954705235616,0.19216645653697614,2.3989454513173056e-06,1.9392721523264766e-07,0.07040891637390682,0.08296419251736324,1.2611549948380762,0.0
ferro_near_critical_like,"ferromagnetic-like, near-critical-like finite-size regime",-1.0,ferro_like_all_negative,1.0,1.0,1.7320508075688772,1.0,0.2,True,D_with_TF,0.06,400,-0.4998360225860933,-0.49983602258609283,-0.16640175008609503,-0.6672371720722582,-0.0301572946874148,,1.7320508075688772,1.7342238036525468e-16,1.7320508075688772,5.258699393542722e-06,1.281335322289076e-06,0.0,0.39213583274378366,0.20817534806976312,0.19663823726176294,1.1068838498449559e-05,9.887010882705939e-07,0.14101404299091308,0.12261190595527083,1.2611549948380762,0.0
ferro_near_critical_like,"ferromagnetic-like, near-critical-like finite-size regime",-1.0,ferro_like_all_negative,1.0,1.0,1.7320508075688772,1.0,0.2,True,D_with_TF,0.08,400,-0.5068698862377519,-0.5068698862377519,-0.14026782561608822,-0.6997450041548119,-0.020781352198635434,,1.7320508075688772,1.7342238036525468e-16,1.7320508075688772,1.559713811162933e-05,3.879152317651955e-06,0.0,0.4102074075183307,0.21496344695599703,0.2005526145021874,3.255613324056372e-05,3.142094817286667e-06,0.22828155437545697,0.16072973468101381,1.5707963267948966,0.3306939635357677
ferro_near_critical_like,"ferromagnetic-like, near-critical-like finite-size regime",-1.0,ferro_like_all_negative,1.0,1.0,1.7320508075688772,1.0,0.2,True,D_with_TF,0.1,400,-0.5138737787518943,-0.5138737787518943,-0.11304754620071,-0.7174040543617483,-0.01212269861680987,,1.7320508075688772,1.7342238036525468e-16,1.7320508075688772,3.6198755414740386e-05,9.193257960867848e-06,0.0,0.4283173977918459,0.22177229322463282,0.2039107479038755,7.481832242111651e-05,7.701652188549512e-06,0.3287278499517721,0.19710211413589498,1.5707963267948966,0.3306939635357677
ferro_near_critical_like,"ferromagnetic-like, near-critical-like finite-size regime",-1.0,ferro_like_all_negative,1.0,1.0,1.7320508075688772,1.0,0.2,True,D_with_TF,0.14,400,-0.5292086005245197,-0.5292086005245193,-0.05647470192315381,-0.7028697154641975,0.0036330839473503298,,1.7320508075688772,1.7342238036525468e-16,1.7320508075688772,0.0001284932082411965,3.4174234794998895e-05,8.97990449361119e-17,0.4637653378669153,0.23527042046312718,0.20800196597123238,0.00025946473251740605,2.9681990488776013e-05,0.5573543084693718,0.26382512763389343,1.4933859938056915,0.3306939635357677
ferro_near_critical_like,"ferromagnetic-like, near-critical-like finite-size regime",-1.0,ferro_like_all_negative,1.0,1.0,1.7320508075688772,1.0,0.2,True,D_with_TF,0.18,400,-0.5471455782590392,-0.5471455782590386,-0.0006307602546618392,-0.6422120500946765,0.015035068567783453,,1.7320508075688772,1.7342238036525468e-16,1.7320508075688772,0.0003312623345827178,9.25620242755807e-05,7.27492711889683e-06,0.4967462870773186,0.24829903089487884,0.21007892226012156,0.000648389796079414,8.085930554307009e-05,0.8057989554924674,0.32139856369473874,1.4933859938056915,0.4133674544197096
ferro_near_critical_like,"ferromagnetic-like, near-critical-like finite-size regime",-1.0,ferro_like_all_negative,1.0,1.0,1.7320508075688772,1.0,0.2,True,D_with_TF,0.21999999999999997,400,-0.5665909760989115,-0.566590976098912,0.04644369350308981,-0.5680087186733321,0.016815727992939306,,1.7320508075688772,1.7342238036525468e-16,1.7320508075688772,0.0007084548520931945,0.0002077604161233971,3.313774798663826e-05,0.5256545456230403,0.26046427644482467,0.2099028289945008,0.001331284984147237,0.0001787751870247886,1.05618297368937,0.36879451144791575,1.4159756608164864,0.4133674544197096
ferro_near_critical_like,"ferromagnetic-like, near-critical-like finite-size regime",-1.0,ferro_like_all_negative,1.0,1.0,1.7320508075688772,1.0,0.2,True,D_with_TF,0.26,400,-0.5866774165518117,-0.5866774165518116,0.028736472256653916,-0.4980319349942518,-0.0005328723881865836,,1.7320508075688772,1.7342238036525468e-16,1.7320508075688772,0.0013353013692990238,0.00041114204885058534,9.102143803592952e-05,0.5490941057306639,0.27138313986873935,0.21577936664446457,0.002396225020269076,0.0003434917004516097,1.293574996397569,0.40541347560842134,1.4159756608164864,0.4133674544197096
ferro_near_critical_like,"ferromagnetic-like, near-critical-like finite-size regime",-1.0,ferro_like_all_negative,1.0,1.0,1.7320508075688772,1.0,0.2,True,D_with_TF,0.3,400,-0.6068478377319868,-0.6068478377319863,-0.3909547950600164,-0.4361327550829511,-0.050280453302087656,,1.7320508075688772,1.7342238036525468e-16,1.7320508075688772,0.0023054381746690465,0.0007415002109971103,0.00026505620434082383,0.5659490727820241,0.28072881740218886,0.2256036326122856,0.003923257332727835,0.0005963520120657825,1.5061172397527256,0.43115217674060574,1.4159756608164864,0.4960409453036515
ferro_near_critical_like,"ferromagnetic-like, near-critical-like finite-size regime",-1.0,ferro_like_all_negative,1.0,1.0,1.7320508075688772,1.0,0.2,True,D_with_TF,0.3277777777777778,400,-0.6202339722137814,-0.6202339722137815,-0.35895785018624254,-0.39674380166888135,-0.1086154788157777,,1.7320508075688772,1.7342238036525468e-16,1.7320508075688772,0.003223065657229938,0.0010687122758189982,0.0004295350310254565,0.5733526026248801,0.28614355394244834,0.2429939976015506,0.0052918247237186255,0.0008351494454715156,1.6343957688700943,0.4428369372304138,1.4159756608164864,0.4960409453036515
ferro_near_critical_like,"ferromagnetic-like, near-critical-like finite-size regime",-1.0,ferro_like_all_negative,1.0,1.0,1.7320508075688772,1.0,0.2,True,D_with_TF,0.35555555555555557,400,-0.6325136690016179,-0.6325136690016178,-0.37627135683431123,-0.35765552402801254,-0.1789973044747323,,1.7320508075688772,1.7342238036525468e-16,1.7320508075688772,0.004364810228833477,0.0014921659329948048,0.0006563740203079016,0.5770396656802297,0.29058880820203775,0.2471798580125075,0.006934459775911149,0.0011337187980553181,1.7444809599514566,0.4497898152435658,1.4159756608164864,0.5787144361875934
ferro_near_critical_like,"ferromagnetic-like, near-critical-like finite-size regime",-1.0,ferro_like_all_negative,1.0,1.0,1.7320508075688772,1.0,0.2,True,D_with_TF,0.3833333333333333,400,-0.6434541031011806,-0.6434541031011809,-0.4047339022208157,-0.31681757905355123,-0.24495476701561172,,1.7320508075688772,1.7342238036525468e-16,1.7320508075688772,0.0057671806461326355,0.002024352120461368,0.0010581496671811536,0.5769438075180453,0.29401314027089254,0.25491360238478156,0.008865794585417329,0.0014986005708626693,1.835141361590204,0.4524602074176323,1.4159756608164864,0.5787144361875934
ferro_near_critical_like,"ferromagnetic-like, near-critical-like finite-size regime",-1.0,ferro_like_all_negative,1.0,1.0,1.7320508075688772,1.0,0.2,True,D_with_TF,0.4111111111111111,400,-0.6525783238931753,-0.652578323893175,-0.4352351199764937,-0.27212326347229504,-0.29076458933455596,,1.7320508075688772,1.7342238036525468e-16,1.7320508075688772,0.0074045215995462935,0.0026747224900674203,0.0016766447642282108,0.5730898955695024,0.29638994192807594,0.2631003283865353,0.011096728040300215,0.0019358417955696575,1.9058525688599721,0.4514364449422598,1.3385653278272813,0.5787144361875934
