regime_label,description,sign,sign_label,lambda_h_over_Jbar,Jbar_RMS,R_internal_norm,h,J_CD,include_D_transverse,env_label,t,N,corr_J_rho_exp,corr_eta,corr_S_L,corr_P_pair,corr_N_pair_sum,corr_J_tot,mean_J_tot,std_J_tot,min_J_tot,max_J_tot,J_tot_analytic,max_I3_minus,mean_I3_minus,median_I3_minus,max_J_rho_exp,mean_J_rho_exp,median_J_rho_exp,mean_S_ABC,mean_S_L,mean_P_pair,mean_N_pair_sum,theta_at_max_I3,phi_at_max_I3
FM_near_critical_like,"ferromagnetic-like, near-critical-like finite-size regime",-1.0,FM_like_all_negative,1.0,1.0,1.7320508075688772,1.0,0.2,True,D_with_TF,0.02,400,-0.4842793684917637,-0.4842793684917636,,-0.5793028135814265,-0.053001671007841235,,1.7320508075688772,1.7342238036525468e-16,1.7320508075688767,1.7320508075688776,1.7320508075688772,8.084911778377672e-08,1.886591454148143e-08,0.0,0.3572444523495059,0.19487376152817848,0.18714159418137483,1.727692222723205e-07,1.2017480486847809e-08,0.020887981618182377,0.0420144194567718,1.5707963267948966,0.24802047265182575
FM_near_critical_like,"ferromagnetic-like, near-critical-like finite-size regime",-1.0,FM_like_all_negative,1.0,1.0,1.7320508075688772,1.0,0.2,True,D_with_TF,0.04,400,-0.49268293040349914,-0.49268293040349936,-0.19157379875931393,-0.6247878772204101,-0.040375225996600574,,1.7320508075688772,1.7342238036525468e-16,1.7320508075688767,1.7320508075688776,1.7320508075688772,1.1307965320093868e-06,2.7007514715919616e-07,0.0,0.3743246426666863,0.20145954705235616,0.19216645653697614,2.3989454513173056e-06,1.9392721523264766e-07,0.07040891637390682,0.08296419251736324,1.2611549948380762,0.0
FM_near_critical_like,"ferromagnetic-like, near-critical-like finite-size regime",-1.0,FM_like_all_negative,1.0,1.0,1.7320508075688772,1.0,0.2,True,D_with_TF,0.06,400,-0.4998360225860933,-0.49983602258609283,-0.16640175008609503,-0.6672371720722582,-0.0301572946874148,,1.7320508075688772,1.7342238036525468e-16,1.7320508075688767,1.7320508075688776,1.7320508075688772,5.258699393542722e-06,1.281335322289076e-06,0.0,0.39213583274378366,0.20817534806976312,0.19663823726176294,1.1068838498449559e-05,9.887010882705939e-07,0.14101404299091308,0.12261190595527083,1.2611549948380762,0.0
FM_near_critical_like,"ferromagnetic-like, near-critical-like finite-size regime",-1.0,FM_like_all_negative,1.0,1.0,1.7320508075688772,1.0,0.2,True,D_with_TF,0.08,400,-0.5068698862377519,-0.5068698862377519,-0.14026782561608822,-0.6997450041548119,-0.020781352198635434,,1.7320508075688772,1.7342238036525468e-16,1.7320508075688767,1.7320508075688776,1.7320508075688772,1.559713811162933e-05,3.879152317651955e-06,0.0,0.4102074075183307,0.21496344695599703,0.2005526145021874,3.255613324056372e-05,3.142094817286667e-06,0.22828155437545697,0.16072973468101381,1.5707963267948966,0.3306939635357677
FM_near_critical_like,"ferromagnetic-like, near-critical-like finite-size regime",-1.0,FM_like_all_negative,1.0,1.0,1.7320508075688772,1.0,0.2,True,D_with_TF,0.1,400,-0.5138737787518943,-0.5138737787518943,-0.11304754620071,-0.7174040543617483,-0.01212269861680987,,1.7320508075688772,1.7342238036525468e-16,1.7320508075688767,1.7320508075688776,1.7320508075688772,3.6198755414740386e-05,9.193257960867848e-06,0.0,0.4283173977918459,0.22177229322463282,0.2039107479038755,7.481832242111651e-05,7.701652188549512e-06,0.3287278499517721,0.19710211413589498,1.5707963267948966,0.3306939635357677
FM_near_critical_like,"ferromagnetic-like, near-critical-like finite-size regime",-1.0,FM_like_all_negative,1.0,1.0,1.7320508075688772,1.0,0.2,True,D_with_TF,0.14,400,-0.5292086005245197,-0.5292086005245193,-0.05647470192315381,-0.7028697154641975,0.0036330839473503298,,1.7320508075688772,1.7342238036525468e-16,1.7320508075688767,1.7320508075688776,1.7320508075688772,0.0001284932082411965,3.4174234794998895e-05,8.97990449361119e-17,0.4637653378669153,0.23527042046312718,0.20800196597123238,0.00025946473251740605,2.9681990488776013e-05,0.5573543084693718,0.26382512763389343,1.4933859938056915,0.3306939635357677
FM_near_critical_like,"ferromagnetic-like, near-critical-like finite-size regime",-1.0,FM_like_all_negative,1.0,1.0,1.7320508075688772,1.0,0.2,True,D_with_TF,0.18,400,-0.5471455782590392,-0.5471455782590386,-0.0006307602546618392,-0.6422120500946765,0.015035068567783453,,1.7320508075688772,1.7342238036525468e-16,1.7320508075688767,1.7320508075688776,1.7320508075688772,0.0003312623345827178,9.25620242755807e-05,7.27492711889683e-06,0.4967462870773186,0.24829903089487884,0.21007892226012156,0.000648389796079414,8.085930554307009e-05,0.8057989554924674,0.32139856369473874,1.4933859938056915,0.4133674544197096
FM_near_critical_like,"ferromagnetic-like, near-critical-like finite-size regime",-1.0,FM_like_all_negative,1.0,1.0,1.7320508075688772,1.0,0.2,True,D_with_TF,0.21999999999999997,400,-0.5665909760989115,-0.566590976098912,0.04644369350308981,-0.5680087186733321,0.016815727992939306,,1.7320508075688772,1.7342238036525468e-16,1.7320508075688767,1.7320508075688776,1.7320508075688772,0.0007084548520931945,0.0002077604161233971,3.313774798663826e-05,0.5256545456230403,0.26046427644482467,0.2099028289945008,0.001331284984147237,0.0001787751870247886,1.05618297368937,0.36879451144791575,1.4159756608164864,0.4133674544197096
FM_near_critical_like,"ferromagnetic-like, near-critical-like finite-size regime",-1.0,FM_like_all_negative,1.0,1.0,1.7320508075688772,1.0,0.2,True,D_with_TF,0.26,400,-0.5866774165518117,-0.5866774165518116,0.028736472256653916,-0.4980319349942518,-0.0005328723881865836,,1.7320508075688772,1.7342238036525468e-16,1.7320508075688767,1.7320508075688776,1.7320508075688772,0.0013353013692990238,0.00041114204885058534,9.102143803592952e-05,0.5490941057306639,0.27138313986873935,0.21577936664446457,0.002396225020269076,0.0003434917004516097,1.293574996397569,0.40541347560842134,1.4159756608164864,0.4133674544197096
FM_near_critical_like,"ferromagnetic-like, near-critical-like finite-size regime",-1.0,FM_like_all_negative,1.0,1.0,1.7320508075688772,1.0,0.2,True,D_with_TF,0.3,400,-0.6068478377319868,-0.6068478377319863,-0.3909547950600164,-0.4361327550829511,-0.050280453302087656,,1.7320508075688772,1.7342238036525468e-16,1.7320508075688767,1.7320508075688776,1.7320508075688772,0.0023054381746690465,0.0007415002109971103,0.00026505620434082383,0.5659490727820241,0.28072881740218886,0.2256036326122856,0.003923257332727835,0.0005963520120657825,1.5061172397527256,0.43115217674060574,1.4159756608164864,0.4960409453036515
