t,J_AB,J_BC,J_AC,J_CD,comm_max,J_tot,J_rho_exp,eta,I3,I3_minus,S_ABC,S_L,P_pair,N_pair_sum,N_tri_geom,N_tri_min,sample_id
0.1,0.23903836908175324,1.2237846610975005,-0.7520505045359729,0.34641016151377546,0.0,1.1102230246251565e-16,3.9252311467094385e-17,,-3.550371199010279e-16,3.550371199010279e-16,-3.2034265038149176e-16,-2.220446049250313e-16,0.25350831873037755,0.1741709042184279,0.09665263620974893,0.06542264635119145,0
0.1,1.1490269485077658,-1.7152106725225158,-1.5913363092128985,0.34641016151377546,0.0,0.0,0.0,,6.511024961655202e-16,0.0,-3.2034265038149176e-16,-2.220446049250313e-16,0.6139920009263292,0.3161920437599047,0.17513398655417414,0.15738636159873798,1
0.1,0.4416229228250983,-0.30287960059849706,1.4929965586514435,0.34641016151377546,0.0,1.1102230246251565e-16,3.925231146709437e-17,,-1.0535583425921394e-15,1.0535583425921394e-15,3.2034265038149176e-16,0.0,0.2609945858733458,0.16900193242089034,0.0895239949174732,0.04478958048272685,2
0.1,0.37931429681760376,-0.41030333363658844,0.7279338292561475,0.34641016151377546,0.0,0.0,0.0,,2.85071415461076e-16,0.0,1.6017132519074588e-16,0.0,0.1114992247750824,0.12170851111840228,0.06121140644709866,0.04784912022403868,3
0.1,-0.7457701186379796,0.9443271918532634,-1.0369575398023119,0.34641016151377546,0.0,0.0,0.0,,6.41803413378039e-17,0.0,4.805139755722376e-16,0.0,0.2820907141639848,0.20984135479456084,0.10865900335558111,0.10300504337331977,4
0.1,-1.0393816504953939,-0.48751592052226767,-1.2387025972798442,0.34641016151377546,0.0,0.0,0.0,,2.3551688604289484e-15,0.0,8.008566259537293e-16,-2.220446049250313e-16,0.29632646887528863,0.20769834241742408,0.1107790093442982,0.09383140457922172,5
0.1,-0.3201039984597871,0.6055714975128308,1.7174381163059644,0.34641016151377546,0.0,2.220446049250313e-16,7.850462293418876e-17,,-2.96642141665372e-16,2.96642141665372e-16,4.805139755722376e-16,-2.220446049250313e-16,0.3385396383241288,0.1982469017896641,0.10873625582729247,0.06007838094741728,6
0.1,-1.1995582269920488,-0.33959749267388917,-1.7225853882082527,0.34641016151377546,0.0,4.440892098500626e-16,1.5700924586837754e-16,,-1.5970991287004219e-15,1.5970991287004219e-15,-3.2034265038149176e-16,-2.220446049250313e-16,0.41942926117945334,0.23501018040361107,0.13440455782539384,0.10052047228005836,7
0.1,1.2843803976241714,0.6212613696618683,-0.43741543755407886,0.34641016151377546,0.0,0.0,0.0,,-1.6676415985412535e-15,1.6676415985412535e-15,-6.406853007629837e-16,-2.220446049250313e-16,0.23867257413278262,0.17785938202226798,0.09428217185602004,0.0664684007995377,8
0.1,0.5809174655674081,0.9845901814124836,1.3741155776313452,0.34641016151377546,0.0,0.0,0.0,,-6.38378239159465e-16,6.38378239159465e-16,-0.0,0.0,0.3381670970019264,0.22254180423227887,0.11979219148272005,0.09925754147874927,9
0.1,1.3347983182637662,-0.30200206385017103,0.9081366188820872,0.34641016151377546,0.0,0.0,0.0,,5.360251268034954e-16,0.0,4.805139755722376e-16,-2.220446049250313e-16,0.2754459694002461,0.18963104989961568,0.10433286693114004,0.08004927719820769,10
0.1,-1.0087645660827893,0.20773599817172728,1.0282737311517098,0.34641016151377546,0.0,0.0,0.0,,-3.3827550508881535e-16,3.3827550508881535e-16,4.805139755722376e-16,0.0,0.22942649454967706,0.1704207457156807,0.09448409457902134,0.08300743140395167,11
0.1,1.0115935900141189,0.9458458169288648,-1.388303071313187,0.34641016151377546,0.0,8.881784197001252e-16,3.14018491736755e-16,,1.2374655946857085e-16,0.0,-3.2034265038149176e-16,1.1102230246251565e-16,0.38662077476708634,0.2463167959282726,0.13145212921377505,0.11627279948750426,12
0.1,-1.2669107550445606,-0.5399086563981379,1.6222392441549491,0.34641016151377546,0.0,8.881784197001252e-16,3.1401849173675503e-16,,-2.96642141665372e-16,2.96642141665372e-16,4.805139755722376e-16,0.0,0.42414251989162277,0.24578129783217612,0.13733357092153045,0.11176144538833437,13
0.1,0.6802437811306463,0.21226461004344221,-1.0524854966715649,0.34641016151377546,0.0,0.0,0.0,,6.597716862720664e-16,0.0,1.6017132519074588e-16,-4.440892098500626e-16,0.184753268829607,0.14922729063579074,0.08092486142847581,0.05797065639703246,14
0.1,-0.35905788250262183,-1.5471450030645337,0.4763776184469881,0.34641016151377546,0.0,0.0,0.0,,1.58441028988107e-16,0.0,-3.2034265038149176e-16,0.0,0.3103226983960937,0.18460665191452025,0.0991491752625574,0.0491021383852115,15
0.1,1.2155301807068848,1.2447853227816292,0.8688882837515393,0.34641016151377546,0.0,8.881784197001252e-16,3.140184917367551e-16,,2.0180468861418925e-16,0.0,1.6017132519074588e-16,-2.220446049250313e-16,0.3879856971207987,0.24933812157512064,0.13184989187936264,0.12002163014038575,16
