coupling_label,env_label,include_D_transverse,Jz,Jz_abs,J_CD,t,N,corr_J_rho_exp,corr_J_tot,corr_eta,corr_S_L,corr_P_pair,corr_N_pair_sum,max_I3_minus,mean_I3_minus,median_I3_minus,h_at_max_I3,max_J_tot,mean_J_tot,max_J_rho_exp,mean_J_rho_exp,mean_S_ABC,mean_S_L,mean_P_pair,mean_N_pair_sum
ferro_like_J_negative,D_with_TF,True,-1.7320508075688772,1.7320508075688772,0.34641016151377546,0.02,9,0.9906686618766085,0.9825504425483927,0.8895878253103567,0.9832944230141479,0.8378430649752118,0.8354184301530565,1.46425245702646e-07,2.3038341620395025e-08,0.0,3.0,81.0,17.134999999999998,7.701221661108187,1.5205272883661314,2.450567301604622e-06,2.1003781880413186e-07,0.05601116449918754,0.08623508589254254
ferro_like_J_negative,D_with_TF,True,-1.7320508075688772,1.7320508075688772,0.34641016151377546,0.04,9,0.9993344338128931,0.9942131245636889,0.903706873546753,0.9939157637485323,0.7561231010071393,0.7510697604264825,5.0773286170279635e-06,9.081852017962227e-07,1.2300089783480232e-07,3.0,81.0,17.134999999999998,8.920506324505451,1.7054773907916285,3.257641665095691e-05,3.3689962186790446e-06,0.1825930385192607,0.1669367027700154
ferro_like_J_negative,D_with_TF,True,-1.7320508075688772,1.7320508075688772,0.34641016151377546,0.06,9,0.9999935265335348,0.9972700165230097,0.8848874630720642,0.9955370992166945,0.3089167837571063,0.29004141732237576,3.8889595864166236e-05,7.332932967451029e-06,1.3383298374401226e-06,3.0,81.0,17.134999999999998,9.412851626913447,1.7898415806407495,0.00014194873183514113,1.6641500253402855e-05,0.3520678775531689,0.23965351712981953
ferro_like_J_negative,D_with_TF,True,-1.7320508075688772,1.7320508075688772,0.34641016151377546,0.08,9,0.9998870762971962,0.9992344736445139,0.8445593861154508,0.9961367520852221,-0.5911484180328307,-0.6134455688831759,0.00015866116029529054,3.144867107685581e-05,6.810743224648652e-06,3.0,81.0,17.134999999999998,9.100403451012975,1.7645559819125343,0.00038808909223999076,5.0037577489336904e-05,0.5451866637304617,0.30249254284041854
ferro_like_J_negative,D_with_TF,True,-1.7320508075688772,1.7320508075688772,0.34641016151377546,0.1,9,0.9997396125490234,0.9997339785881558,0.7720259056166319,0.9965790594542795,-0.8779280659981749,-0.8849512828635205,0.00044719480921179885,9.417675919736741e-05,2.3788185455558743e-05,3.0,81.0,17.134999999999998,8.034817245708622,1.6360971569111105,0.0008173940644746857,0.00011367441388783946,0.7462133704519823,0.354199623929835
ferro_like_J_negative,D_with_TF,True,-1.7320508075688772,1.7320508075688772,0.34641016151377546,0.14,9,0.9942079779759998,0.9877431481456628,0.48179833091226804,0.9979108795861645,-0.9461085170196896,-0.9438110708113587,0.001782451774750506,0.0004446418282792454,0.00015511580323027932,3.0,81.0,17.134999999999998,4.522703354622196,1.1754457686634907,0.0023116241857993863,0.0003598401333679218,1.125116351973506,0.4225367271870739
ferro_like_J_negative,D_with_TF,True,-1.7320508075688772,1.7320508075688772,0.34641016151377546,0.18,9,0.987766179987818,0.9382885034608275,0.28546046405871933,0.9994042273098981,-0.9210614911808473,-0.9020419013168041,0.004032445483973258,0.0012656345354036462,0.0006167418049450413,3.0,81.0,17.134999999999998,2.475847022716326,0.8323939162460279,0.0046345083975733,0.0007814197803264077,1.4273708620883552,0.4470320293660452
ferro_like_J_negative,D_with_TF,True,-1.7320508075688772,1.7320508075688772,0.34641016151377546,0.21999999999999997,9,0.8997367765555229,0.8502216381721434,0.33641260048006955,0.9991202802839533,-0.8725358257126072,-0.8078024754753516,0.006795210204308923,0.002718177054394134,0.0017955153776407886,3.0,81.0,17.134999999999998,3.394877806587438,0.8086942759295811,0.007660443890803053,0.0013724788704342966,1.6387578571879498,0.4367207459844448
ferro_like_J_negative,D_with_TF,True,-1.7320508075688772,1.7320508075688772,0.34641016151377546,0.26,9,0.7932997100744946,0.7044184866769376,-0.18775263741608753,0.9976314894801491,-0.7985456211668901,-0.6766541299306948,0.011114220938899945,0.004795549641720655,0.004172964102237508,2.0,81.0,17.134999999999998,2.4587738916854724,0.6179618370690795,0.011225603514350736,0.002112527846990823,1.7790957474914484,0.41140917607526223
ferro_like_J_negative,D_with_TF,True,-1.7320508075688772,1.7320508075688772,0.34641016151377546,0.3,9,0.6260276561646333,0.4314888465631324,-0.17327363910830143,0.9907171580421995,-0.65487248034377,-0.5557158557848559,0.016309717970141274,0.007248361416226593,0.007947628425370917,2.0,81.0,17.134999999999998,1.9497085619159724,0.5432504977879724,0.015196327776086989,0.0029834927323088875,1.873000026050877,0.3951876928746383
