t,h,hD,h_over_R,J_AB,J_BC,J_AC,J_CD,comm_max,J_tot,J_rho_exp,eta,I3,I3_minus,S_ABC,S_L,P_pair,N_pair_sum,N_tri_geom,N_tri_min,h_over_Jz,Jz,Jz_abs,include_D_transverse,env_label,coupling_label
0.02,0.0,0.0,0.0,-1.7320508075688772,-1.7320508075688772,-1.7320508075688772,0.34641016151377546,0.0,0.0,0.0,,1.4444434628144629e-15,0.0,3.2034265038149176e-16,0.0,0.05491839638053514,0.0852688426866634,0.04145978378946951,0.04017626283314401,0.0,-1.7320508075688772,1.7320508075688772,True,D_with_TF,ferro_like_J_negative
0.02,0.17320508075688773,0.17320508075688773,0.1,-1.7320508075688772,-1.7320508075688772,-1.7320508075688772,0.34641016151377546,1.2,0.08999999999999998,0.006010715305541866,0.06678572561713185,2.693468282395345e-10,0.0,1.7292563085006927e-08,1.0727829735657224e-09,0.05504427916988086,0.08538113290120641,0.04151524092806566,0.040255118670081844,0.1,-1.7320508075688772,1.7320508075688772,True,D_with_TF,ferro_like_J_negative
0.02,0.4330127018922193,0.4330127018922193,0.25,-1.7320508075688772,-1.7320508075688772,-1.7320508075688772,0.34641016151377546,2.9999999999999996,0.5624999999999998,0.03842941155991428,0.06831895388429207,8.500533130616482e-10,0.0,9.946730263115089e-08,6.722811418669039e-09,0.05522948697484797,0.08554610070604024,0.04159674031886017,0.04037167020543068,0.25,-1.7320508075688772,1.7320508075688772,True,D_with_TF,ferro_like_J_negative
0.02,0.8660254037844386,0.8660254037844386,0.5,-1.7320508075688772,-1.7320508075688772,-1.7320508075688772,0.34641016151377546,5.999999999999999,2.249999999999999,0.15944722669738517,0.07086543408772678,1.4829914067095214e-09,0.0,3.724662081295628e-07,2.7005090053044967e-08,0.05552844133605589,0.0858117639200619,0.04172805537401843,0.04056127086064439,0.5,-1.7320508075688772,1.7320508075688772,True,D_with_TF,ferro_like_J_negative
0.02,1.299038105676658,1.299038105676658,0.7500000000000001,-1.7320508075688772,-1.7320508075688772,-1.7320508075688772,0.34641016151377546,9.0,5.0625,0.3715780052190136,0.07339812448770638,7.306192511499832e-10,0.0,8.055047081761366e-07,6.100165905742472e-08,0.05581509855042788,0.08606576648855999,0.04185369183995745,0.0407450048741723,0.75,-1.7320508075688772,1.7320508075688772,True,D_with_TF,ferro_like_J_negative
0.02,1.7320508075688772,1.7320508075688772,1.0,-1.7320508075688772,-1.7320508075688772,-1.7320508075688772,0.34641016151377546,11.999999999999998,8.999999999999996,0.6832257221173683,0.07591396912415206,-2.0867628479896653e-09,2.0867628479896653e-09,1.3918047560546894e-06,1.0884568069080558e-07,0.056089298393673076,0.08630804634311376,0.04197361441395076,0.04092281434656803,1.0,-1.7320508075688772,1.7320508075688772,True,D_with_TF,ferro_like_J_negative
0.02,2.598076211353316,2.598076211353316,1.5000000000000002,-1.7320508075688772,-1.7320508075688772,-1.7320508075688772,0.34641016151377546,18.0,20.25,1.6378811085661027,0.08088301770696804,-1.5858840220516463e-08,1.5858840220516463e-08,3.00660885249573e-06,2.464976960325771e-07,0.05659971179203191,0.08675720864241225,0.04219618586508819,0.04126043846756141,1.5,-1.7320508075688772,1.7320508075688772,True,D_with_TF,ferro_like_J_negative
0.02,3.4641016151377544,3.4641016151377544,2.0,-1.7320508075688772,-1.7320508075688772,-1.7320508075688772,0.34641016151377546,23.999999999999996,35.999999999999986,3.086951744721671,0.085748659575602,-4.297422581240311e-08,4.297422581240311e-08,5.189291270611901e-06,4.405768772031138e-07,0.0570585192958032,0.08715883057540262,0.042395524338657044,0.04157372222275284,2.0,-1.7320508075688772,1.7320508075688772,True,D_with_TF,ferro_like_J_negative
0.02,5.196152422706632,5.196152422706632,3.0000000000000004,-1.7320508075688772,-1.7320508075688772,-1.7320508075688772,0.34641016151377546,36.0,81.0,7.701221661108187,0.09507681063096528,-1.46425245702646e-07,1.46425245702646e-07,1.117267005293708e-05,9.986177718079858e-07,0.057817248599431936,0.08781808076942241,0.042723672454589565,0.04212576162968368,3.0,-1.7320508075688772,1.7320508075688772,True,D_with_TF,ferro_like_J_negative
0.04,0.0,0.0,0.0,-1.7320508075688772,-1.7320508075688772,-1.7320508075688772,0.34641016151377546,0.0,0.0,0.0,,1.5126788710517758e-15,0.0,-0.0,-2.220446049250313e-16,0.17738432494583428,0.1641702637251185,0.08247014508034857,0.07990151289326171,0.0,-1.7320508075688772,1.7320508075688772,True,D_with_TF,ferro_like_J_negative
0.04,0.17320508075688773,0.17320508075688773,0.1,-1.7320508075688772,-1.7320508075688772,-1.7320508075688772,0.34641016151377546,1.2,0.08999999999999998,0.005333248941652203,0.05925832157391338,1.4651171596931277e-09,0.0,2.4274528961936117e-07,1.719389142174066e-08,0.17813259901651554,0.1645731075130899,0.08267977367406279,0.08020309876224666,0.1,-1.7320508075688772,1.7320508075688772,True,D_with_TF,ferro_like_J_negative
0.04,0.4330127018922193,0.4330127018922193,0.25,-1.7320508075688772,-1.7320508075688772,-1.7320508075688772,0.34641016151377546,2.9999999999999996,0.5624999999999998,0.035033482937712065,0.06228174744482148,-5.354026038935429e-10,5.354026038935429e-10,1.3817639378385897e-06,1.0801368621748964e-07,0.17920850070820812,0.16515074542600433,0.0829806414849037,0.08064144579956668,0.25,-1.7320508075688772,1.7320508075688772,True,D_with_TF,ferro_like_J_negative
0.04,0.8660254037844386,0.8660254037844386,0.5,-1.7320508075688772,-1.7320508075688772,-1.7320508075688772,0.34641016151377546,5.999999999999999,2.249999999999999,0.15139913591309848,0.06728850485026601,-3.414449891319858e-08,3.414449891319858e-08,5.131660527682217e-06,4.353667713008491e-07,0.18087574356547653,0.1660419814219865,0.08344558846192288,0.08133411890355405,0.5,-1.7320508075688772,1.7320508075688772,True,D_with_TF,ferro_like_J_negative
0.04,1.299038105676658,1.299038105676658,0.7500000000000001,-1.7320508075688772,-1.7320508075688772,-1.7320508075688772,0.34641016151377546,9.0,5.0625,0.3656807460648957,0.07223323379059668,-1.2300089783480232e-07,1.2300089783480232e-07,1.1040247447552653e-05,9.85971623790327e-07,0.18238253483864886,0.1668431362373402,0.08386446387536474,0.08197866276255525,0.75,-1.7320508075688772,1.7320508075688772,True,D_with_TF,ferro_like_J_negative
0.04,1.7320508075688772,1.7320508075688772,1.0,-1.7320508075688772,-1.7320508075688772,-1.7320508075688772,0.34641016151377546,11.999999999999998,8.999999999999996,0.6938226581756083,0.07709140646395651,-2.813859635676751e-07,2.813859635676751e-07,1.8994706334010254e-05,1.7622913857096023e-06,0.18372562441075013,0.16755349330897026,0.0842368061140747,0.08257427773992747,1.0,-1.7320508075688772,1.7320508075688772,True,D_with_TF,ferro_like_J_negative
0.04,2.598076211353316,2.598076211353316,1.5000000000000002,-1.7320508075688772,-1.7320508075688772,-1.7320508075688772,0.34641016151377546,18.0,20.25,1.7506729964020449,0.08645298747664419,-8.495295387052077e-07,8.495295387052077e-07,4.069606044812202e-05,3.994449837563252e-06,0.18590945901126982,0.16869954793161449,0.0848403532177039,0.08361588604374674,1.5,-1.7320508075688772,1.7320508075688772,True,D_with_TF,ferro_like_J_negative
0.04,3.4641016151377544,3.4641016151377544,2.0,-1.7320508075688772,-1.7320508075688772,-1.7320508075688772,0.34641016151377546,23.999999999999996,35.999999999999986,3.4268479241841927,0.09519022011622762,-1.8077418975132633e-06,1.8077418975132633e-06,6.958333891307117e-05,7.121350653394032e-06,0.1874085825802443,0.1694768165007114,0.08525378161744544,0.08417203972904075,2.0,-1.7320508075688772,1.7320508075688772,True,D_with_TF,ferro_like_J_negative
0.04,5.196152422706632,5.196152422706632,3.0000000000000004,-1.7320508075688772,-1.7320508075688772,-1.7320508075688772,0.34641016151377546,36.0,81.0,8.920506324505451,0.11012970770994385,-5.0773286170279635e-06,5.0773286170279635e-06,0.0001461172269607159,1.5896328118936154e-05,0.18830997759639875,0.16992123286530306,0.08550556646968016,0.08365628671985849,3.0,-1.7320508075688772,1.7320508075688772,True,D_with_TF,ferro_like_J_negative
0.06,0.0,0.0,0.0,-1.7320508075688772,-1.7320508075688772,-1.7320508075688772,0.34641016151377546,0.0,0.0,0.0,,-1.1252543432347304e-15,1.1252543432347304e-15,-3.2034265038149176e-16,0.0,0.3420527406788607,0.23567421061696192,0.12259210293666704,0.11873528915138791,0.0,-1.7320508075688772,1.7320508075688772,True,D_with_TF,ferro_like_J_negative
0.06,0.17320508075688773,0.17320508075688773,0.1,-1.7320508075688772,-1.7320508075688772,-1.7320508075688772,0.34641016151377546,1.2,0.08999999999999998,0.004602499406274071,0.05113888229193413,-4.816635732472412e-09,4.816635732472412e-09,1.128772676422542e-06,8.718391220075006e-08,0.3440530927954374,0.23648406249033208,0.12303472198049963,0.11938196355158473,0.1,-1.7320508075688772,1.7320508075688772,True,D_with_TF,ferro_like_J_negative
0.06,0.4330127018922193,0.4330127018922193,0.25,-1.7320508075688772,-1.7320508075688772,-1.7320508075688772,0.34641016151377546,2.9999999999999996,0.5624999999999998,0.031267456997790405,0.055586590218294075,-7.729235378294197e-08,7.729235378294197e-08,6.3782925943788435e-06,5.489155537885537e-07,0.3468527369537744,0.23761301438329482,0.12365288402815282,0.12030435210728126,0.25,-1.7320508075688772,1.7320508075688772,True,D_with_TF,ferro_like_J_negative
0.06,0.8660254037844386,0.8660254037844386,0.5,-1.7320508075688772,-1.7320508075688772,-1.7320508075688772,0.34641016151377546,5.999999999999999,2.249999999999999,0.14162554829196486,0.06294468812976219,-4.78784371742624e-07,4.78784371742624e-07,2.3540233946881895e-05,2.218169929180114e-06,0.3509723235641105,0.23926361686195427,0.12455974958471135,0.12171238978659106,0.5,-1.7320508075688772,1.7320508075688772,True,D_with_TF,ferro_like_J_negative
0.06,1.299038105676658,1.299038105676658,0.7500000000000001,-1.7320508075688772,-1.7320508075688772,-1.7320508075688772,0.34641016151377546,9.0,5.0625,0.35516983100470867,0.0701570036552511,-1.3383298374401226e-06,1.3383298374401226e-06,5.0402458489374934e-05,5.02918572942157e-06,0.35439257963980947,0.2406226336856928,0.12531044933348032,0.12295547464572744,0.75,-1.7320508075688772,1.7320508075688772,True,D_with_TF,ferro_like_J_negative
0.06,1.7320508075688772,1.7320508075688772,1.0,-1.7320508075688772,-1.7320508075688772,-1.7320508075688772,0.34641016151377546,11.999999999999998,8.999999999999996,0.6942489013757063,0.07713876681952295,-2.7462400825015854e-06,2.7462400825015854e-06,8.629909153039815e-05,8.986401160870905e-06,0.3570976606003311,0.24168758429323417,0.125903202470669,0.12403023707782512,1.0,-1.7320508075688772,1.7320508075688772,True,D_with_TF,ferro_like_J_negative
0.06,2.598076211353316,2.598076211353316,1.5000000000000002,-1.7320508075688772,-1.7320508075688772,-1.7320508075688772,0.34641016151377546,18.0,20.25,1.8244242137592,0.09009502290168889,-7.4647414421203685e-06,7.4647414421203685e-06,0.00018276929673636524,2.027040008667491e-05,0.3603166823550662,0.24292991119061272,0.12661013283786002,0.12473590616707847,1.5,-1.7320508075688772,1.7320508075688772,True,D_with_TF,ferro_like_J_negative
0.06,3.4641016151377544,3.4641016151377544,2.0,-1.7320508075688772,-1.7320508075688772,-1.7320508075688772,0.34641016151377546,23.999999999999996,35.999999999999986,3.6443841480176546,0.10123289300049045,-1.4996596118447658e-05,1.4996596118447658e-05,0.00030779841378131463,3.5760948892349376e-05,0.36057539451794174,0.24298882676117142,0.12667587571978944,0.12397039442455905,2.0,-1.7320508075688772,1.7320508075688772,True,D_with_TF,ferro_like_J_negative
0.06,5.196152422706632,5.196152422706632,3.0000000000000004,-1.7320508075688772,-1.7320508075688772,-1.7320508075688772,0.34641016151377546,36.0,81.0,9.412851626913447,0.11620804477670922,-3.8889595864166236e-05,3.8889595864166236e-05,0.0006192220267614544,7.687229701613951e-05,0.3522976868731881,0.23961779388512147,0.12490315099933207,0.12083828806429407,3.0,-1.7320508075688772,1.7320508075688772,True,D_with_TF,ferro_like_J_negative
0.08,0.0,0.0,0.0,-1.7320508075688772,-1.7320508075688772,-1.7320508075688772,0.34641016151377546,0.0,0.0,0.0,,7.580697317285267e-16,0.0,4.805139755722376e-16,-4.440892098500626e-16,0.5341276748914985,0.2989463359772831,0.16140734689729622,0.15625802819318244,0.0,-1.7320508075688772,1.7320508075688772,True,D_with_TF,ferro_like_J_negative
0.08,0.17320508075688773,0.17320508075688773,0.1,-1.7320508075688772,-1.7320508075688772,-1.7320508075688772,0.34641016151377546,1.2,0.08999999999999998,0.00385841606557193,0.0428712896174659,-6.028685159766764e-08,6.028685159766764e-08,3.343444659933282e-06,2.759555929321422e-07,0.5379808094369722,0.30022735984612225,0.16214075962622787,0.15735069476568264,0.1,-1.7320508075688772,1.7320508075688772,True,D_with_TF,ferro_like_J_negative
0.08,0.4330127018922193,0.4330127018922193,0.25,-1.7320508075688772,-1.7320508075688772,-1.7320508075688772,0.34641016151377546,2.9999999999999996,0.5624999999999998,0.027342637792696935,0.04860913385368346,-5.165075805107067e-07,5.165075805107067e-07,1.8779140682823702e-05,1.7408665347051766e-06,0.5432063378977219,0.30195583904655704,0.1631332903973621,0.1588769397249557,0.25,-1.7320508075688772,1.7320508075688772,True,D_with_TF,ferro_like_J_negative
0.08,0.8660254037844386,0.8660254037844386,0.5,-1.7320508075688772,-1.7320508075688772,-1.7320508075688772,0.34641016151377546,5.999999999999999,2.249999999999999,0.13083539089576124,0.05814906262033835,-2.62381988834937e-06,2.62381988834937e-06,6.890787392777986e-05,7.046742984906373e-06,0.550403408994577,0.30431592577824307,0.16449683151896063,0.16111338805174125,0.5,-1.7320508075688772,1.7320508075688772,True,D_with_TF,ferro_like_J_negative
0.08,1.299038105676658,1.299038105676658,0.7500000000000001,-1.7320508075688772,-1.7320508075688772,-1.7320508075688772,0.34641016151377546,9.0,5.0625,0.341456682781108,0.06744823363577443,-6.810743224648652e-06,6.810743224648652e-06,0.00014675779830272266,1.5971966347727573e-05,0.5556624996052111,0.3060180050395329,0.16549216345644713,0.16295649445443877,0.75,-1.7320508075688772,1.7320508075688772,True,D_with_TF,ferro_like_J_negative
